sample,fps,frameDuration,particleCount
0,618.8502,1,1100
1,618.8502,1,1100
2,618.8502,1,1100
3,618.8502,1,1100
4,618.8502,1,1100
5,618.8502,1,1100
6,618.8502,1,1100
7,618.8502,1,1100
8,618.8502,1,1100
9,618.8502,1,1100
10,618.8502,1,1100
11,618.8502,1,1100
12,618.8502,1,1100
13,618.8502,1,1100
14,618.8502,1,1100
15,618.8502,1,1100
16,618.8502,1,1100
17,618.8502,1,1100
18,618.8502,1,1100
19,618.8502,1,1100
20,618.8502,1,1100
21,618.8502,1,1100
22,618.8502,1,1100
23,618.8502,1,1100
24,618.8502,1,1100
25,618.8502,1,1100
26,618.8502,1,1100
27,618.8502,1,1100
28,618.8502,1,1100
29,618.8502,1,1100
30,618.8502,1,1100
31,618.8502,1,1100
32,618.8502,1,1100
33,618.8502,1,1100
34,618.8502,1,1100
35,618.8502,1,1100
36,618.8502,1,1100
37,618.8502,1,1100
38,618.8502,1,1100
39,618.8502,1,1100
40,618.8502,1,1100
41,618.8502,1,1100
42,618.8502,1,1100
43,618.8502,1,1100
44,618.8502,1,1100
45,618.8502,1,1100
46,618.8502,1,1100
47,618.8502,1,1100
48,618.8502,1,1100
49,618.8502,1,1100
50,618.8502,1,1100
51,618.8502,1,1100
52,618.8502,1,1100
53,618.8502,1,1100
54,618.8502,1,1100
55,618.8502,1,1100
56,618.8502,1,1100
57,618.8502,1,1100
58,618.8502,1,1100
59,618.8502,1,1100
60,618.8502,1,1100
61,618.8502,1,1100
62,618.8502,1,1100
63,618.8502,1,1100
64,618.8502,1,1100
65,618.8502,1,1100
66,618.8502,1,1100
67,618.8502,1,1100
68,618.8502,1,1100
69,618.8502,1,1100
70,618.8502,1,1100
71,618.8502,1,1100
72,618.8502,1,1100
73,618.8502,1,1100
74,618.8502,1,1100
75,618.8502,1,1100
76,618.8502,1,1100
77,618.8502,1,1100
78,618.8502,1,1100
79,618.8502,1,1100
80,618.8502,1,1100
81,618.8502,1,1100
82,618.8502,1,1100
83,618.8502,1,1100
84,618.8502,1,1100
85,618.8502,1,1100
86,618.8502,1,1100
87,618.8502,1,1100
88,618.8502,1,1100
89,618.8502,1,1100
90,618.8502,1,1100
91,756.7158,1,1100
92,756.7158,1,1100
93,756.7158,1,1100
94,756.7158,1,1100
95,756.7158,1,1100
96,756.7158,1,1100
97,756.7158,1,1100
98,756.7158,1,1100
99,756.7158,1,1100
100,756.7158,1,1100
101,756.7158,1,1100
102,756.7158,1,1100
103,756.7158,1,1100
104,756.7158,1,1100
105,756.7158,1,1100
106,756.7158,1,1100
107,756.7158,1,1100
108,756.7158,1,1100
109,756.7158,1,1100
110,756.7158,1,1100
111,756.7158,1,1100
112,756.7158,1,1100
113,756.7158,1,1100
114,756.7158,1,1100
115,756.7158,1,1100
116,756.7158,1,1100
117,756.7158,1,1100
118,756.7158,1,1100
119,756.7158,1,1100
120,756.7158,1,1100
121,756.7158,1,1100
122,756.7158,1,1100
123,756.7158,1,1100
124,756.7158,1,1100
125,756.7158,1,1100
126,756.7158,1,1100
