sample,fps,frameDuration,particleCount
0,587.5095,1,1100
1,587.5095,1,1100
2,587.5095,1,1100
3,587.5095,1,1100
4,587.5095,1,1100
5,587.5095,1,1100
6,587.5095,1,1100
7,587.5095,1,1100
8,587.5095,1,1100
9,587.5095,1,1100
10,587.5095,1,1100
11,587.5095,1,1100
12,587.5095,1,1100
13,587.5095,1,1100
14,587.5095,1,1100
15,587.5095,1,1100
16,587.5095,1,1100
17,587.5095,1,1100
18,587.5095,1,1100
19,587.5095,1,1100
20,587.5095,1,1100
21,587.5095,1,1100
22,587.5095,1,1100
23,587.5095,1,1100
24,587.5095,1,1100
25,587.5095,1,1100
26,587.5095,1,1100
27,587.5095,1,1100
28,587.5095,1,1100
29,587.5095,1,1100
30,587.5095,1,1100
31,587.5095,1,1100
32,587.5095,1,1100
33,587.5095,1,1100
34,587.5095,1,1100
35,587.5095,1,1100
36,587.5095,1,1100
37,587.5095,1,1100
38,587.5095,1,1100
39,587.5095,1,1100
40,587.5095,1,1100
41,587.5095,1,1100
42,587.5095,1,1100
43,587.5095,1,1100
44,587.5095,1,1100
45,587.5095,1,1100
46,587.5095,1,1100
47,587.5095,1,1100
48,587.5095,1,1100
49,587.5095,1,1100
50,587.5095,1,1100
51,587.5095,1,1100
52,587.5095,1,1100
53,587.5095,1,1100
54,587.5095,1,1100
55,587.5095,1,1100
56,587.5095,1,1100
57,587.5095,1,1100
58,587.5095,1,1100
59,587.5095,1,1100
60,587.5095,1,1100
61,587.5095,1,1100
62,587.5095,1,1100
63,587.5095,1,1100
64,587.5095,1,1100
65,587.5095,1,1100
66,587.5095,1,1100
67,587.5095,1,1100
68,587.5095,1,1100
69,587.5095,1,1100
70,587.5095,1,1100
71,587.5095,1,1100
72,587.5095,1,1100
73,587.5095,1,1100
74,587.5095,1,1100
75,587.5095,1,1100
76,587.5095,1,1100
77,587.5095,1,1100
78,587.5095,1,1100
79,587.5095,1,1100
80,587.5095,1,1100
81,587.5095,1,1100
82,587.5095,1,1100
83,587.5095,1,1100
84,587.5095,1,1100
85,587.5095,1,1100
86,587.5095,1,1100
87,587.5095,1,1100
88,587.5095,1,1100
89,587.5095,1,1100
90,587.5095,1,1100
91,587.5095,1,1100
92,587.5095,1,1100
93,587.5095,1,1100
94,587.5095,1,1100
95,758.4376,1,1100
96,758.4376,1,1100
97,758.4376,1,1100
98,758.4376,1,1100
99,758.4376,1,1100
100,758.4376,1,1100
101,758.4376,1,1100
102,758.4376,1,1100
103,758.4376,1,1100
104,758.4376,1,1100
105,758.4376,1,1100
106,758.4376,1,1100
107,758.4376,1,1100
108,758.4376,1,1100
109,758.4376,1,1100
110,758.4376,1,1100
111,758.4376,1,1100
112,758.4376,1,1100
113,758.4376,1,1100
114,758.4376,1,1100
115,758.4376,1,1100
116,758.4376,1,1100
117,758.4376,1,1100
118,758.4376,1,1100
119,758.4376,1,1100
120,758.4376,1,1100
121,758.4376,1,1100
122,758.4376,1,1100
123,758.4376,1,1100
