sample,simulationStep,simulationStepsTime,timeSteps,particles,solver,fViscosity,stiffness,iterations,timeStep,densityError,cfl,boundary,bViscosity,gamma1,gamma2,gamma3
47,12634,3.3238,422,932,IISPH,30,10000,3,0.01,0.0009947265,5.790329E-05,Zero,30,1,1,1
48,12734,5.8618,423,932,IISPH,30,10000,9,0.01,0.0009960126,5.6534624E-05,Zero,30,1,1,1
49,12834,6.3274,424,932,IISPH,30,10000,9,0.01,0.0009957311,5.667705E-05,Zero,30,1,1,1
50,12934,5.037,425,932,IISPH,30,10000,7,0.01,0.0009956133,5.595346E-05,Zero,30,1,1,1
51,13034,5.0222,426,932,IISPH,30,10000,7,0.01,0.0009958943,5.921775E-05,Zero,30,1,1,1
52,13134,4.87,427,932,IISPH,30,10000,6,0.01,0.0009950226,6.2396706E-05,Zero,30,1,1,1
53,13234,3.9202,428,932,IISPH,30,10000,5,0.01,0.0009949626,6.526929E-05,Zero,30,1,1,1
54,13334,5.1341,429,932,IISPH,30,10000,6,0.01,0.0009949029,6.722656E-05,Zero,30,1,1,1
55,13434,4.2349,430,932,IISPH,30,10000,6,0.01,0.0009949189,6.964578E-05,Zero,30,1,1,1
56,13533,4.7075,431,932,IISPH,30,10000,6,0.01,0.000995362,7.20566E-05,Zero,30,1,1,1
57,13633,5.0442,432,932,IISPH,30,10000,7,0.01,0.000994963,7.433293E-05,Zero,30,1,1,1
58,13733,4.7869,433,932,IISPH,30,10000,7,0.01,0.0009953919,7.473475E-05,Zero,30,1,1,1
59,13833,5.2687,434,932,IISPH,30,10000,8,0.01,0.0009953027,7.687523E-05,Zero,30,1,1,1
60,13933,5.4661,435,932,IISPH,30,10000,8,0.01,0.0009956727,7.979663E-05,Zero,30,1,1,1
61,14033,4.4441,436,932,IISPH,30,10000,5,0.01,0.0009953923,8.2990206E-05,Zero,30,1,1,1
62,14133,5.8229,437,932,IISPH,30,10000,8,0.01,0.0009956872,8.455874E-05,Zero,30,1,1,1
63,14233,5.9064,438,932,IISPH,30,10000,9,0.01,0.0009961461,8.698144E-05,Zero,30,1,1,1
64,14333,4.3322,439,932,IISPH,30,10000,5,0.01,0.0009945487,8.994395E-05,Zero,30,1,1,1
65,14433,4.8261,440,932,IISPH,30,10000,6,0.01,0.0009956431,9.186543E-05,Zero,30,1,1,1
66,14532,5.147,441,932,IISPH,30,10000,7,0.01,0.0009956722,9.3645234E-05,Zero,30,1,1,1
67,14632,4.5991,442,932,IISPH,30,10000,6,0.01,0.0009947853,9.656176E-05,Zero,30,1,1,1
68,14732,3.8427,443,932,IISPH,30,10000,4,0.01,0.0009946084,9.78682E-05,Zero,30,1,1,1
69,14832,5.2708,444,932,IISPH,30,10000,7,0.01,0.0009957902,0.00010301517,Zero,30,1,1,1
70,14932,3.5061,445,932,IISPH,30,10000,3,0.01,0.0009946371,0.00010689833,Zero,30,1,1,1
71,15032,5.6205,446,932,IISPH,30,10000,8,0.01,0.0009951999,0.00011190566,Zero,30,1,1,1
72,15132,6.0683,447,932,IISPH,30,10000,8,0.01,0.0009958205,0.00011557058,Zero,30,1,1,1
73,15232,6.2088,448,932,IISPH,30,10000,8,0.01,0.0009950371,0.00011824468,Zero,30,1,1,1
74,15332,4.7508,449,932,IISPH,30,10000,6,0.01,0.0009949034,0.0001224034,Zero,30,1,1,1
75,15432,4.8909,450,932,IISPH,30,10000,6,0.01,0.0009947113,0.00012393018,Zero,30,1,1,1
76,15531,5.2273,451,932,IISPH,30,10000,7,0.01,0.0009949335,0.00012592679,Zero,30,1,1,1
77,15631,6.5272,452,932,IISPH,30,10000,10,0.01,0.0009964559,0.00012736666,Zero,30,1,1,1
78,15731,5.9506,453,932,IISPH,30,10000,6,0.01,0.0009950513,0.00012720088,Zero,30,1,1,1
79,15831,4.5118,454,932,IISPH,30,10000,6,0.01,0.0009951551,0.00012716347,Zero,30,1,1,1
80,15931,4.2868,455,932,IISPH,30,10000,5,0.01,0.0009951697,0.00012679714,Zero,30,1,1,1
81,16031,5.5089,456,932,IISPH,30,10000,7,0.01,0.0009958352,0.00012662857,Zero,30,1,1,1
82,16131,4.687,457,932,IISPH,30,10000,7,0.01,0.000995539,0.00012630085,Zero,30,1,1,1
83,16218,14.8613,458,932,IISPH,30,10000,29,0.02,0.0019847518,0.00034478056,Zero,30,1,1,1
84,16268,3.3144,459,932,IISPH,30,10000,3,0.02,0.001733517,0.0002523655,Zero,30,1,1,1
85,16318,3.1206,460,932,IISPH,30,10000,3,0.02,0.0017556308,0.00024788454,Zero,30,1,1,1
86,16368,3.7455,461,932,IISPH,30,10000,3,0.02,0.0019728218,0.000287751,Zero,30,1,1,1
87,16418,3.2963,462,932,IISPH,30,10000,3,0.02,0.0014308067,0.00026590013,Zero,30,1,1,1
88,16468,3.9994,463,932,IISPH,30,10000,3,0.02,0.0019784973,0.0003514224,Zero,30,1,1,1
89,16518,3.4831,464,932,IISPH,30,10000,3,0.02,0.0014483694,0.0002996497,Zero,30,1,1,1
90,16568,21.3369,465,932,IISPH,30,10000,46,0.02,0.0019823571,0.00046589723,Zero,30,1,1,1
91,16618,3.5338,466,932,IISPH,30,10000,3,0.02,0.0017966547,0.0003753442,Zero,30,1,1,1
92,16668,3.1561,467,932,IISPH,30,10000,3,0.02,0.001726746,0.0003612057,Zero,30,1,1,1
93,16718,4.1661,468,932,IISPH,30,10000,3,0.02,0.001976842,0.00050151546,Zero,30,1,1,1
94,16768,3.2186,469,932,IISPH,30,10000,3,0.02,0.00153133,0.00047446406,Zero,30,1,1,1
95,16818,3.3699,470,932,IISPH,30,10000,3,0.02,0.0019644843,0.00064771756,Zero,30,1,1,1
96,16869,3.2524,471,932,IISPH,30,10000,3,0.02,0.0013507574,0.00054193335,Zero,30,1,1,1
97,16919,3.7137,472,932,IISPH,30,10000,3,0.02,0.0019810575,0.00070007157,Zero,30,1,1,1
98,16969,3.0493,473,932,IISPH,30,10000,3,0.02,0.0015957254,0.00055757613,Zero,30,1,1,1
99,17019,49.2079,474,932,IISPH,30,10000,114,0.02,0.0019585718,0.00066079583,Zero,30,1,1,1
