sample,fps,frameDuration,particleCount
0,603.20905,1,1224
1,603.20905,1,1224
2,603.20905,1,1224
3,603.20905,1,1224
4,603.20905,1,1224
5,603.20905,1,1224
6,603.20905,1,1224
7,603.20905,1,1224
8,603.20905,1,1224
9,603.20905,1,1224
10,603.20905,1,1224
11,603.20905,1,1224
12,603.20905,1,1224
13,603.20905,1,1224
14,603.20905,1,1224
15,603.20905,1,1224
16,603.20905,1,1224
17,603.20905,1,1224
18,603.20905,1,1224
19,603.20905,1,1224
20,603.20905,1,1224
21,603.20905,1,1224
22,603.20905,1,1224
23,603.20905,1,1224
24,603.20905,1,1224
25,603.20905,1,1224
26,603.20905,1,1224
27,603.20905,1,1224
28,603.20905,1,1224
29,603.20905,1,1224
30,603.20905,1,1224
31,603.20905,1,1224
32,603.20905,1,1224
33,603.20905,1,1224
34,603.20905,1,1224
35,603.20905,1,1224
36,603.20905,1,1224
37,603.20905,1,1224
38,603.20905,1,1224
39,603.20905,1,1224
40,603.20905,1,1224
41,603.20905,1,1224
42,603.20905,1,1224
43,603.20905,1,1224
44,603.20905,1,1224
45,603.20905,1,1224
46,603.20905,1,1224
47,603.20905,1,1224
48,603.20905,1,1224
49,603.20905,1,1224
50,603.20905,1,1224
51,603.20905,1,1224
52,603.20905,1,1224
53,603.20905,1,1224
54,603.20905,1,1224
55,603.20905,1,1224
56,654.065,1,1224
57,654.065,1,1224
58,654.065,1,1224
59,654.065,1,1224
60,654.065,1,1224
61,654.065,1,1224
62,654.065,1,1224
63,654.065,1,1224
64,654.065,1,1224
65,654.065,1,1224
66,654.065,1,1224
67,654.065,1,1224
68,654.065,1,1224
69,654.065,1,1224
70,654.065,1,1224
71,654.065,1,1224
72,654.065,1,1224
73,654.065,1,1224
74,654.065,1,1224
75,654.065,1,1224
76,654.065,1,1224
77,654.065,1,1224
78,654.065,1,1224
79,654.065,1,1224
80,654.065,1,1224
81,654.065,1,1224
82,654.065,1,1224
83,654.065,1,1224
84,654.065,1,1224
85,654.065,1,1224
86,654.065,1,1224
87,654.065,1,1224
88,654.065,1,1224
89,654.065,1,1224
90,654.065,1,1224
91,654.065,1,1224
92,654.065,1,1224
93,654.065,1,1224
94,654.065,1,1224
95,654.065,1,1224
96,654.065,1,1224
97,654.065,1,1224
98,654.065,1,1224
99,654.065,1,1224
100,654.065,1,1224
101,654.065,1,1224
102,654.065,1,1224
103,654.065,1,1224
104,654.065,1,1224
105,654.065,1,1224
106,654.065,1,1224
107,654.065,1,1224
108,654.065,1,1224
109,654.065,1,1224
110,654.065,1,1224
111,654.065,1,1224
112,654.065,1,1224
113,654.065,1,1224
114,654.065,1,1224
115,654.065,1,1224
116,654.065,1,1224
117,654.065,1,1224
118,654.065,1,1224
119,654.065,1,1224
120,654.065,1,1224
121,654.065,1,1224
122,654.065,1,1224
123,654.065,1,1224
124,654.065,1,1224
125,654.065,1,1224
126,654.065,1,1224
127,654.065,1,1224
128,654.065,1,1224
129,654.065,1,1224
130,654.065,1,1224
131,654.065,1,1224
132,654.065,1,1224
133,654.065,1,1224
134,654.065,1,1224
135,654.065,1,1224
136,654.065,1,1224
137,654.065,1,1224
138,654.065,1,1224
139,654.065,1,1224
140,654.065,1,1224
141,654.065,1,1224
142,654.065,1,1224
143,654.065,1,1224
144,654.065,1,1224
