sample,relativeDensityError,localPressure,pressureAcceleration.X,pressureAcceleration.Y,viscosityAcceleration.X,viscosityAcceleration.Y,averageVelocity.X,averageVelocity.Y,CFL
0,-0.059973396,0,-0,-0,0,0,0,0.060000002,0.0011
1,-0.059973396,0,-0,-0,0,0,0,0.120000005,0.0022
2,-0.059973396,0,-0,-0,0,0,0,0.18,0.0033
3,-0.059973396,0,-0,-0,0,0,0,0.24000001,0.0044
4,-0.059973396,0,-0,-0,0,0,0,0.3,0.0055
5,-0.059973396,0,-0,-0,0,0,0,0.36,0.0065
6,-0.059973396,0,-0,-0,0,0,0,0.42000002,0.0076
7,-0.059973396,0,-0,-0,0,0,0,0.48000002,0.0087
8,-0.059973396,0,-0,-0,0,0,0,0.54,0.0098
9,-0.059973396,0,-0,-0,0,0,0,0.6,0.0109
10,-0.059973396,0,-0,-0,0,0,0,0.66,0.012
11,-0.059973396,0,-0,-0,0,0,0,0.72,0.0131
12,-0.059973396,0,-0,-0,0,0,0,0.78000003,0.0142
13,-0.059973396,0,-0,-0,0,0,0,0.84000003,0.0153
14,-0.059973396,0,-0,-0,0,0,0,0.90000004,0.0164
15,-0.059973396,0,-0,-0,0,0,0,0.96000004,0.0175
16,-0.059973396,0,-0,-0,0,0,0,1.02,0.0185
17,-0.059973396,0,-0,-0,0,0,0,1.0799999,0.0196
18,-0.059973396,0,-0,-0,0,0,0,1.1399999,0.0207
19,-0.059973396,0,-0,-0,0,0,0,1.1999998,0.0218
20,-0.059973396,0,-0,-0,0,0,0,1.2599998,0.0229
21,-0.059973396,0,-0,-0,0,0,0,1.3199997,0.024
22,-0.059973396,0,-0,-0,0,0,0,1.3799996,0.0251
23,-0.059973396,0,-0,-0,0,0,0,1.4399996,0.0262
24,-0.059973396,0,-0,-0,0,0,0,1.4999995,0.0273
25,-0.059973396,0,-0,-0,0,0,0,1.5599995,0.0284
26,-0.059973396,0,-0,-0,0,0,0,1.6199994,0.0295
27,-0.059973396,0,-0,-0,0,0,0,1.6799994,0.0305
28,-0.059973396,0,-0,-0,0,0,0,1.7399993,0.0316
29,-0.059973396,0,-0,-0,0,0,0,1.7999992,0.0327
30,-0.059973396,0,-0,-0,0,0,0,1.8599992,0.0338
31,-0.059973396,0,-0,-0,0,0,0,1.9199991,0.0349
32,-0.059973396,0,-0,-0,0,0,0,1.9799991,0.036
33,-0.059973396,0,-0,-0,0,0,0,2.039999,0.0371
34,-0.059973396,0,-0,-0,0,0,0,2.099999,0.0382
35,-0.059973396,0,-0,-0,0,0,0,2.159999,0.0393
36,-0.059973396,0,-0,-0,0,0,0,2.2199988,0.0404
37,-0.059973396,0,-0,-0,0,0,0,2.2799988,0.0415
38,-0.059973396,0,-0,-0,0,0,0,2.3399987,0.0425
39,-0.059973396,0,-0,-0,0,0,0,2.3999987,0.0436
40,-0.059973396,0,-0,-0,0,0,0,2.4599986,0.0447
41,-0.059973396,0,-0,-0,0,0,0,2.5199986,0.0458
42,-0.059973396,0,-0,-0,8.1506546E-10,-1.2152044E-07,8.150654E-10,2.5799985,0.0469
43,-0.059972007,0,-0,-0,1.099828E-07,-1.6013919E-05,1.10797856E-07,2.6399822,0.048
44,-0.059962668,0.00029910693,-7.408248E-13,5.0270253E-13,4.417602E-07,-6.29982E-05,5.5255737E-07,2.6999192,0.0491
45,-0.059938032,0.0009103255,-3.1749633E-13,-3.1749633E-13,1.0618347E-06,-0.00014793417,1.6143922E-06,2.7597713,0.0502
46,-0.059887864,0.002662702,4.2332845E-13,1.2038403E-12,2.0507177E-06,-0.00027859374,3.6651106E-06,2.8194926,0.0513
47,-0.059801336,0.0067396597,-1.7462299E-12,3.2543376E-12,3.5069363E-06,-0.0004635311,7.172046E-06,2.879029,0.0524
48,-0.05966703,0.0125950035,4.1803683E-12,1.0351703E-12,3.241047E-06,-0.00072120054,1.0413101E-05,2.938308,0.0535
49,-0.05946457,0.021446293,8.201989E-12,1.32302155E-11,2.0011723E-06,-0.001092554,1.2414282E-05,2.9972153,0.0545
50,-0.05916794,0.033488598,-1.6615641E-11,1.5224154E-11,9.924541E-07,-0.0015958337,1.3406723E-05,3.0556195,0.0556
51,-0.058747627,0.050814044,7.0378356E-12,1.0473968E-11,3.1668768E-07,-0.0022450767,1.3723401E-05,3.1133745,0.0567
52,-0.05817453,0.07388592,-5.0693585E-11,2.2315693E-11,4.842841E-08,-0.0030522665,1.3771761E-05,3.1703222,0.0578
53,-0.057418544,0.10355603,-2.831009E-11,-6.411938E-12,3.77081E-07,-0.0040266654,1.4148821E-05,3.2262955,0.0589
54,-0.056449074,0.14078021,1.2170692E-11,2.3603869E-11,1.5091836E-06,-0.005173323,1.5658015E-05,3.2811222,0.06
55,-0.05523741,0.18534389,6.03243E-11,-1.2813954E-11,3.6194058E-06,-0.00649253,1.9277531E-05,3.3346298,0.0611
56,-0.053755935,0.23749904,-1.2297692E-10,-2.5065675E-11,7.1106865E-06,-0.007980001,2.638803E-05,3.3866496,0.0622
57,-0.05197952,0.2970132,1.3991006E-10,6.592116E-11,1.2313704E-05,-0.009625949,3.8701775E-05,3.4370236,0.0633
58,-0.049886204,0.3638051,-1.5959482E-10,-5.902672E-11,1.9841214E-05,-0.011416651,5.854304E-05,3.4856071,0.0643
59,-0.04745831,0.43704888,-3.5517256E-10,8.1212086E-11,3.0324021E-05,-0.013336897,8.886662E-05,3.5322702,0.0654
60,-0.044683516,0.8465588,1.2185187E-05,-0.019928781,4.4815868E-05,-0.015371899,0.00014586755,3.5569694,0.0665
61,-0.041490592,4.642785,0.00022523284,-0.24049799,6.0139017E-05,-0.016793067,0.00043124033,3.3596785,0.0676
62,-0.03736337,9.673386,0.0003832221,-0.35990688,3.3045046E-05,-0.009994795,0.00084750523,3.0497768,0.0731
63,-0.032714404,15.328462,0.00037511167,-0.34811914,-1.37512425E-05,-0.0016745996,0.0012088649,2.759983,0.0938
64,-0.028995076,19.599482,0.00028850697,-0.27949786,-4.950769E-05,0.0007871335,0.001447871,2.5412724,0.1094
65,-0.02728184,21.087566,0.00019580769,-0.20035875,-9.390577E-05,-0.0008386836,0.0015497864,2.400075,0.1244
66,-0.027665595,20.372784,7.663154E-05,-0.17813222,-0.00013110526,-0.0026636482,0.0014953255,2.279279,0.1289
67,-0.029820401,16.731236,4.6394198E-05,-0.12336113,-9.252328E-05,0.0004493743,0.0014492068,2.2163672,0.126
68,-0.033459164,10.979289,-9.063916E-06,-0.06502658,-1.5701222E-05,0.0045177056,0.0014244458,2.2158585,0.1337
69,-0.03831595,5.5046453,-2.9187431E-06,-0.01376527,1.6287968E-06,0.0059325085,0.0014231559,2.2680256,0.1238
70,-0.044229425,1.443947,-3.3720523E-06,-0.0043306723,-3.641092E-05,0.003853252,0.0013833808,2.3275483,0.1207
71,-0.050478972,0.034572862,-1.9780462E-07,-3.6317168E-05,-6.301176E-05,0.0014063105,0.0013201615,2.3889182,0.1201
72,-0.05608966,0,-0,-0,-8.095259E-05,6.293798E-05,0.0012392097,2.448981,0.1198
73,-0.061079856,0,-0,-0,-4.7605175E-05,-0.001006234,0.0011915962,2.5079749,0.1199
74,-0.065471426,0,-0,-0,9.766264E-05,-0.0019428445,0.0012892568,2.566032,0.1201
75,-0.06926487,0.042502448,-1.2615322E-05,-0.0031423643,0.00037835358,-0.0028196354,0.0016549915,2.62007,0.1203
76,-0.07242848,0.18756281,0.00011233496,-0.013632491,0.0008175177,-0.0035424137,0.002584849,2.6628952,0.1206
77,-0.0748976,1.3160088,0.010176417,-0.05889557,0.0014042283,-0.0038179294,0.014165509,2.6601818,0.1211
78,-0.07669548,2.5560737,0.025434038,-0.09591632,0.0020164484,-0.0029811817,0.041615993,2.6212842,0.1225
79,-0.0778834,3.5826445,0.04038269,-0.10932573,0.0025471377,-0.0014383667,0.08454583,2.5705202,0.131
80,-0.07864554,4.383739,0.04745679,-0.13061492,0.0028725527,-0.0003695368,0.13487518,2.4995356,0.1459
81,-0.07899672,4.830107,0.050172117,-0.13216053,0.0026738888,0.00071325887,0.18772118,2.4280884,0.1571
82,-0.079053834,4.8975186,0.059428692,-0.13227598,0.0021741062,0.0021449577,0.249324,2.3579574,0.1587
83,-0.078643754,5.274855,0.07015459,-0.14597757,0.000970824,0.0044288854,0.3204494,2.2764087,0.1545
