sample,simulationStep,simulationStepsTime,timeSteps,particles,solver,fViscosity,stiffness,iterations,timeStep,densityError,cfl,boundary,bViscosity,gamma1,gamma2,gamma3
117,21064,5.9461,632,1140,IISPH,5,2500,22,0.03,0.002907668,0.0031121157,Extrapolation,10,1,1,1
118,21097,6.9623,633,1140,IISPH,5,2500,28,0.03,0.002900398,0.0032694421,Extrapolation,10,1,1,1
119,21131,5.7946,634,1140,IISPH,5,2500,22,0.03,0.0029049362,0.0033085875,Extrapolation,10,1,1,1
120,21164,7.2566,635,1140,IISPH,5,2500,31,0.03,0.002898479,0.0027659659,Extrapolation,10,1,1,1
121,21197,8.3994,636,1140,IISPH,5,2500,33,0.03,0.0029122287,0.0027879942,Extrapolation,10,1,1,1
122,21230,8.2934,637,1140,IISPH,5,2500,35,0.03,0.0029011206,0.003221939,Extrapolation,10,1,1,1
123,21264,8.849,638,1140,IISPH,5,2500,31,0.03,0.0029100385,0.0031772307,Extrapolation,10,1,1,1
124,21297,6.9134,639,1140,IISPH,5,2500,24,0.03,0.0028897077,0.0026389062,Extrapolation,10,1,1,1
125,21330,6.7564,640,1140,IISPH,5,2500,29,0.03,0.002896368,0.0026145908,Extrapolation,10,1,1,1
126,21364,7.4843,641,1140,IISPH,5,2500,27,0.03,0.0028914688,0.0027538834,Extrapolation,10,1,1,1
127,21397,6.9309,642,1140,IISPH,5,2500,25,0.03,0.0028924958,0.002515215,Extrapolation,10,1,1,1
128,21430,10.2018,643,1140,IISPH,5,2500,40,0.03,0.0028915703,0.0026152437,Extrapolation,10,1,1,1
129,21464,6.6065,644,1140,IISPH,5,2500,26,0.03,0.0028984225,0.0030877532,Extrapolation,10,1,1,1
130,21497,12.1576,645,1140,IISPH,5,2500,50,0.03,0.0028850567,0.0024526294,Extrapolation,10,1,1,1
131,21530,6.845,646,1140,IISPH,5,2500,27,0.03,0.002892688,0.0025322149,Extrapolation,10,1,1,1
132,21563,9.4808,647,1140,IISPH,5,2500,38,0.03,0.002888082,0.0025348621,Extrapolation,10,1,1,1
133,21597,6.8051,648,1140,IISPH,5,2500,27,0.03,0.002891209,0.0024832964,Extrapolation,10,1,1,1
134,21630,2.8202,649,1140,IISPH,5,2500,3,0.03,0.002528264,0.0022670052,Extrapolation,10,1,1,1
135,21663,10.0101,650,1140,IISPH,5,2500,40,0.03,0.0028929927,0.0022421263,Extrapolation,10,1,1,1
136,21697,7.3022,651,1140,IISPH,5,2500,28,0.03,0.0028859486,0.0024420104,Extrapolation,10,1,1,1
137,21730,9.9268,652,1140,IISPH,5,2500,36,0.03,0.0028729888,0.002618613,Extrapolation,10,1,1,1
138,21763,1.9932,653,1140,IISPH,5,2500,3,0.03,0.0025450168,0.0019310092,Extrapolation,10,1,1,1
139,21797,2.3166,654,1140,IISPH,5,2500,3,0.03,0.0028669497,0.0023423617,Extrapolation,10,1,1,1
140,21830,3.015,655,1140,IISPH,5,2500,7,0.03,0.0028742985,0.0021985131,Extrapolation,10,1,1,1
141,21863,2.5167,656,1140,IISPH,5,2500,3,0.03,0.0028628742,0.0023503064,Extrapolation,10,1,1,1
142,21896,3.1395,657,1140,IISPH,5,2500,5,0.03,0.0028689024,0.0020119564,Extrapolation,10,1,1,1
143,21930,13.6362,658,1140,IISPH,5,2500,59,0.03,0.0028634386,0.001985831,Extrapolation,10,1,1,1
144,21963,7.7604,659,1140,IISPH,5,2500,30,0.03,0.0028844357,0.0021055103,Extrapolation,10,1,1,1
145,21996,7.7479,660,1140,IISPH,5,2500,28,0.03,0.0028815458,0.0018945602,Extrapolation,10,1,1,1
146,22030,22.395,661,1140,IISPH,5,2500,90,0.03,0.0028654595,0.0018974156,Extrapolation,10,1,1,1
147,22063,2.4535,662,1140,IISPH,5,2500,3,0.03,0.0028078076,0.0015448359,Extrapolation,10,1,1,1
148,22096,16.6168,663,1140,IISPH,5,2500,69,0.03,0.0028668141,0.0019154499,Extrapolation,10,1,1,1
149,22130,14.2164,664,1140,IISPH,5,2500,61,0.03,0.0028828778,0.0020457217,Extrapolation,10,1,1,1
150,22163,2.3672,665,1140,IISPH,5,2500,3,0.03,0.0027811097,0.0020743923,Extrapolation,10,1,1,1
151,22196,1.9912,666,1140,IISPH,5,2500,3,0.03,0.0028578958,0.0018932173,Extrapolation,10,1,1,1
152,22229,3.8121,667,1140,IISPH,5,2500,3,0.03,0.0027063896,0.0017895051,Extrapolation,10,1,1,1
153,22263,2.8021,668,1140,IISPH,5,2500,3,0.03,0.0028492599,0.0019188952,Extrapolation,10,1,1,1
154,22296,2.4395,669,1140,IISPH,5,2500,3,0.03,0.0027745056,0.001496144,Extrapolation,10,1,1,1
155,22329,10.0087,670,1140,IISPH,5,2500,42,0.03,0.0028761046,0.001613099,Extrapolation,10,1,1,1
156,22363,2.4068,671,1140,IISPH,5,2500,3,0.03,0.002871036,0.0016121849,Extrapolation,10,1,1,1
157,22396,23.441,672,1140,IISPH,5,2500,109,0.03,0.002873971,0.0014693161,Extrapolation,10,1,1,1
158,22429,2.7593,673,1140,IISPH,5,2500,5,0.03,0.0028812636,0.001573755,Extrapolation,10,1,1,1
159,22463,7.0453,674,1140,IISPH,5,2500,26,0.03,0.002877211,0.00145097,Extrapolation,10,1,1,1
160,22496,2.1631,675,1140,IISPH,5,2500,3,0.03,0.0028766578,0.0015048679,Extrapolation,10,1,1,1
161,22529,2.3163,676,1140,IISPH,5,2500,3,0.03,0.0028746033,0.0014488307,Extrapolation,10,1,1,1
162,22562,25.2785,677,1140,IISPH,5,2500,124,0.03,0.0028583475,0.0014564048,Extrapolation,10,1,1,1
163,22596,3.2061,678,1140,IISPH,5,2500,3,0.03,0.0028297417,0.0013639124,Extrapolation,10,1,1,1
164,22629,2.0742,679,1140,IISPH,5,2500,3,0.03,0.002768455,0.0017718505,Extrapolation,10,1,1,1
165,22662,2.1664,680,1140,IISPH,5,2500,3,0.03,0.0027997699,0.0019656585,Extrapolation,10,1,1,1
166,22696,2.4201,681,1140,IISPH,5,2500,3,0.03,0.0022900375,0.0014858767,Extrapolation,10,1,1,1
167,22729,12.0763,682,1140,IISPH,5,2500,46,0.03,0.0028731017,0.0013823862,Extrapolation,10,1,1,1
168,22762,2.1653,683,1140,IISPH,5,2500,3,0.03,0.0029004095,0.001341531,Extrapolation,10,1,1,1
169,22796,2.8836,684,1140,IISPH,5,2500,5,0.03,0.002874829,0.0014571334,Extrapolation,10,1,1,1
170,22829,2.2092,685,1140,IISPH,5,2500,3,0.03,0.0028359843,0.0015469167,Extrapolation,10,1,1,1
171,22862,2.5557,686,1140,IISPH,5,2500,3,0.03,0.0018789008,0.0013640036,Extrapolation,10,1,1,1
172,22895,2.6858,687,1140,IISPH,5,2500,6,0.03,0.002877572,0.0014392685,Extrapolation,10,1,1,1
173,22929,2.2153,688,1140,IISPH,5,2500,3,0.03,0.0028672654,0.0013386781,Extrapolation,10,1,1,1
174,22962,7.4038,689,1140,IISPH,5,2500,33,0.03,0.00287405,0.0014945258,Extrapolation,10,1,1,1
175,22995,20.8758,690,1140,IISPH,5,2500,91,0.03,0.0028547011,0.0013980281,Extrapolation,10,1,1,1
176,23029,25.282,691,1140,IISPH,5,2500,117,0.03,0.0028748629,0.0016163592,Extrapolation,10,1,1,1
177,23062,2.3482,692,1140,IISPH,5,2500,3,0.03,0.0028441686,0.0015283459,Extrapolation,10,1,1,1
178,23095,3.9419,693,1140,IISPH,5,2500,10,0.03,0.00290786,0.0029142285,Extrapolation,10,1,1,1
179,23129,3.466,694,1140,IISPH,5,2500,6,0.03,0.0028765562,0.0017973986,Extrapolation,10,1,1,1
180,23162,7.1785,695,1140,IISPH,5,2500,20,0.03,0.0028966952,0.0028674207,Extrapolation,10,1,1,1
181,23195,5.0961,696,1140,IISPH,5,2500,18,0.03,0.0028950358,0.002892249,Extrapolation,10,1,1,1
182,23228,2.433,697,1140,IISPH,5,2500,3,0.03,0.0023737322,0.0014424517,Extrapolation,10,1,1,1
183,23262,19.6706,698,1140,IISPH,5,2500,89,0.03,0.0029356077,0.0047980407,Extrapolation,10,1,1,1
184,23295,4.7529,699,1140,IISPH,5,2500,14,0.03,0.002888274,0.0026470986,Extrapolation,10,1,1,1
185,23328,3.8088,700,1140,IISPH,5,2500,10,0.03,0.0028663625,0.0018327081,Extrapolation,10,1,1,1
186,23362,9.5414,701,1140,IISPH,5,2500,39,0.03,0.0029068666,0.0031265798,Extrapolation,10,1,1,1
187,23395,8.1022,702,1140,IISPH,5,2500,33,0.03,0.0029158525,0.0030059877,Extrapolation,10,1,1,1
188,23428,5.4592,703,1140,IISPH,5,2500,18,0.03,0.0028820878,0.001977534,Extrapolation,10,1,1,1
189,23462,7.0349,704,1140,IISPH,5,2500,28,0.03,0.00289516,0.0023457385,Extrapolation,10,1,1,1
