sample,fps,frameDuration,particleCount
0,464.12326,2,1224
1,464.12326,2,1224
2,464.12326,2,1224
3,464.12326,2,1224
4,464.12326,2,1224
5,464.12326,2,1224
6,464.12326,2,1224
7,464.12326,2,1224
8,464.12326,2,1224
9,464.12326,2,1224
10,464.12326,2,1224
11,464.12326,2,1224
12,464.12326,2,1224
13,464.12326,2,1224
14,464.12326,2,1224
15,464.12326,2,1224
16,464.12326,2,1224
17,464.12326,2,1224
18,464.12326,2,1224
19,464.12326,2,1224
20,464.12326,2,1224
21,464.12326,2,1224
22,464.12326,2,1224
23,464.12326,2,1224
24,464.12326,2,1224
25,464.12326,2,1224
26,464.12326,2,1224
27,464.12326,2,1224
28,464.12326,2,1224
29,464.12326,2,1224
30,464.12326,2,1224
31,464.12326,2,1224
32,464.12326,2,1224
33,464.12326,2,1224
34,464.12326,2,1224
35,464.12326,2,1224
36,464.12326,2,1224
37,464.12326,2,1224
38,464.12326,2,1224
39,464.12326,2,1224
40,464.12326,2,1224
41,464.12326,2,1224
42,464.12326,2,1224
43,464.12326,2,1224
44,464.12326,2,1224
45,464.12326,2,1224
46,464.12326,2,1224
47,464.12326,2,1224
48,464.12326,2,1224
49,464.12326,2,1224
50,464.12326,2,1224
51,464.12326,2,1224
52,464.12326,2,1224
53,464.12326,2,1224
54,464.12326,2,1224
55,464.12326,2,1224
56,464.12326,2,1224
57,464.12326,2,1224
58,464.12326,2,1224
59,464.12326,2,1224
60,464.12326,2,1224
61,286.9852,3,1224
62,286.9852,3,1224
63,286.9852,3,1224
64,286.9852,3,1224
65,286.9852,3,1224
66,286.9852,3,1224
67,286.9852,3,1224
68,286.9852,3,1224
69,286.9852,3,1224
70,286.9852,3,1224
71,286.9852,3,1224
72,286.9852,3,1224
73,286.9852,3,1224
74,286.9852,3,1224
75,286.9852,3,1224
76,286.9852,3,1224
77,286.9852,3,1224
78,286.9852,3,1224
79,286.9852,3,1224
80,286.9852,3,1224
81,286.9852,3,1224
82,286.9852,3,1224
83,286.9852,3,1224
84,286.9852,3,1224
85,286.9852,3,1224
86,286.9852,3,1224
87,286.9852,3,1224
88,286.9852,3,1224
89,286.9852,3,1224
90,286.9852,3,1224
91,286.9852,3,1224
92,286.9852,3,1224
93,286.9852,3,1224
94,286.9852,3,1224
95,286.9852,3,1224
96,286.9852,3,1224
97,286.9852,3,1224
98,286.9852,3,1224
99,286.9852,3,1224
100,286.9852,3,1224
101,286.9852,3,1224
102,286.9852,3,1224
103,286.9852,3,1224
104,286.9852,3,1224
105,286.9852,3,1224
106,286.9852,3,1224
107,286.9852,3,1224
108,286.9852,3,1224
109,286.9852,3,1224
110,286.9852,3,1224
111,286.9852,3,1224
112,286.9852,3,1224
113,286.9852,3,1224
114,286.9852,3,1224
115,286.9852,3,1224
116,286.9852,3,1224
117,286.9852,3,1224
118,286.9852,3,1224
119,286.9852,3,1224
120,286.9852,3,1224
121,286.9852,3,1224
122,286.9852,3,1224
123,286.9852,3,1224
124,286.9852,3,1224
125,286.9852,3,1224
126,286.9852,3,1224
127,286.9852,3,1224
128,286.9852,3,1224
129,286.9852,3,1224
130,286.9852,3,1224
131,286.9852,3,1224
132,286.9852,3,1224
133,286.9852,3,1224
134,286.9852,3,1224
135,286.9852,3,1224
136,286.9852,3,1224
137,286.9852,3,1224
138,286.9852,3,1224
139,286.9852,3,1224
140,286.9852,3,1224
141,286.9852,3,1224
142,286.9852,3,1224
143,286.9852,3,1224
144,286.9852,3,1224
145,286.9852,3,1224
146,286.9852,3,1224
147,286.9852,3,1224
148,286.9852,3,1224
149,286.9852,3,1224
150,286.9852,3,1224
151,286.9852,3,1224
152,286.9852,3,1224
153,286.9852,3,1224
154,286.9852,3,1224
155,286.9852,3,1224
