sample,relativeDensityError,localPressure,pressureAcceleration.X,pressureAcceleration.Y,viscosityAcceleration.X,viscosityAcceleration.Y,averageVelocity.X,averageVelocity.Y,CFL
0,-0.0286295,0,-0,-0,0,0,0,0.030000001,0.0003
1,-0.028629202,0,-0,-0,-1.4700505E-07,-1.6663768E-06,-1.4700505E-07,0.059998337,0.0005
2,-0.028628308,0.00016994713,-1.9542861E-14,0,-2.945119E-07,-3.3625115E-06,-4.41517E-07,0.089994974,0.0008
3,-0.028627215,0.0003358303,-2.0538797E-13,-7.516485E-15,-4.4208315E-07,-5.098588E-06,-8.836003E-07,0.11998988,0.0011
4,-0.028625626,0.0004917383,-4.524924E-13,9.4707716E-14,-5.900642E-07,-6.8846216E-06,-1.4736651E-06,0.14998299,0.0014
5,-0.028623639,0.00083384925,-6.4341116E-13,1.2176706E-13,-7.374617E-07,-8.7101835E-06,-2.2111274E-06,0.17997429,0.0016
6,-0.028621156,0.0010037964,-3.4876494E-13,-1.1876047E-13,-8.836164E-07,-1.0587983E-05,-3.094744E-06,0.2099637,0.0019
7,-0.028618375,0.0011800242,-2.1647477E-13,2.4090335E-13,-1.0293383E-06,-1.25342385E-05,-4.1240824E-06,0.23995116,0.0022
8,-0.028615294,0.0010115549,-4.710957E-13,2.553726E-13,-1.1741793E-06,-1.4582671E-05,-5.298262E-06,0.2699366,0.0025
9,-0.028611718,0.0014907318,-3.547781E-13,1.4247523E-14,-1.318364E-06,-1.6774076E-05,-6.6166263E-06,0.2999198,0.0027
10,-0.028607447,0.002131728,-5.017254E-14,2.9348494E-13,-1.4595163E-06,-1.9078709E-05,-8.076143E-06,0.32990074,0.003
11,-0.028602678,0.002738735,-6.173853E-13,-1.1736841E-12,-1.5960243E-06,-2.1512418E-05,-9.672168E-06,0.35987923,0.0033
12,-0.028597513,0.0029829415,-2.4597699E-13,2.2697775E-13,-1.7294257E-06,-2.4099096E-05,-1.1401594E-05,0.38985512,0.0035
13,-0.028591651,0.0032168035,2.4237163E-13,2.6010994E-13,-1.8620364E-06,-2.6873191E-05,-1.326363E-05,0.41982824,0.0038
14,-0.028585194,0.0036213517,-5.236386E-13,-5.307887E-13,-1.9915221E-06,-2.9839224E-05,-1.5255152E-05,0.4497984,0.0041
15,-0.028578142,0.003906937,-9.927631E-13,-1.2482984E-12,-2.1154497E-06,-3.300836E-05,-1.7370603E-05,0.47976542,0.0044
16,-0.028570194,0.0044056945,1.258837E-12,5.511478E-13,-2.2293368E-06,-3.6400113E-05,-1.9599938E-05,0.509729,0.0046
17,-0.028561551,0.004844232,6.3382855E-13,1.9325789E-14,-2.334334E-06,-4.0042258E-05,-2.1934271E-05,0.53968894,0.0049
18,-0.028552214,0.005322301,-3.4975403E-13,9.73613E-13,-2.428503E-06,-4.397484E-05,-2.4362775E-05,0.569645,0.0052
19,-0.028541882,0.0058070193,-1.2131656E-12,-2.2660107E-13,-2.51039E-06,-4.822076E-05,-2.6873166E-05,0.5995968,0.0055
20,-0.028530655,0.0061919866,-5.556522E-13,8.3636396E-13,-2.5825482E-06,-5.278782E-05,-2.9455714E-05,0.62954396,0.0057
21,-0.028518338,0.006735448,-3.481893E-13,-6.1420823E-13,-2.6347511E-06,-5.771243E-05,-3.2090466E-05,0.6594863,0.006
22,-0.028504927,0.0073276768,-7.0695473E-13,-5.393861E-13,-2.6716532E-06,-6.302393E-05,-3.4762117E-05,0.68942326,0.0063
23,-0.028490225,0.007996012,-3.4873967E-13,-5.552757E-13,-2.6910718E-06,-6.875033E-05,-3.745319E-05,0.7193545,0.0065
24,-0.028474132,0.008707943,2.987803E-14,-4.754709E-13,-2.6896812E-06,-7.492889E-05,-4.014287E-05,0.74927956,0.0068
25,-0.028456647,0.0094764,1.8048821E-12,-1.7939313E-12,-2.661137E-06,-8.160148E-05,-4.2804008E-05,0.779198,0.0071
26,-0.028437773,0.010233403,-1.1524324E-12,-6.4888644E-13,-2.601539E-06,-8.880274E-05,-4.5405544E-05,0.80910915,0.0074
27,-0.02841721,0.010982279,1.5801237E-13,-3.9944837E-14,-2.515593E-06,-9.656821E-05,-4.792114E-05,0.8390126,0.0076
28,-0.028394857,0.011831276,1.4226827E-12,9.802169E-13,-2.4083472E-06,-0.000104960105,-5.0329487E-05,0.86890763,0.0079
29,-0.028370718,0.012770049,2.3985104E-12,7.9304965E-13,-2.282598E-06,-0.00011403546,-5.2612082E-05,0.89879364,0.0082
30,-0.028344491,0.01371658,3.1268588E-12,8.9986406E-13,-2.1429075E-06,-0.00012385209,-5.4754986E-05,0.92866975,0.0085
31,-0.028316079,0.014954608,-1.0795146E-12,-1.1879728E-13,-1.982178E-06,-0.00013446451,-5.6737168E-05,0.9585353,0.0087
32,-0.028285185,0.016231429,3.2085557E-13,-2.195085E-12,-1.8150525E-06,-0.00014592746,-5.855222E-05,0.9883894,0.009
33,-0.028251706,0.01760209,-6.261232E-12,1.1548014E-12,-1.6325866E-06,-0.00015829896,-6.018481E-05,1.018231,0.0093
34,-0.028215347,0.019092452,1.1404307E-12,-2.0665796E-13,-1.4360876E-06,-0.00017164269,-6.16209E-05,1.0480595,0.0095
35,-0.028176108,0.020795248,3.4279816E-12,2.7481424E-12,-1.2258546E-06,-0.00018601572,-6.284674E-05,1.0778735,0.0098
36,-0.02813359,0.022595948,1.6815116E-12,2.6582694E-12,-1.0042753E-06,-0.00020149579,-6.3851025E-05,1.107672,0.0101
37,-0.028087396,0.024586916,-2.8442236E-12,9.533107E-13,-7.796627E-07,-0.00021815528,-6.463069E-05,1.1374538,0.0104
38,-0.028037626,0.026795859,7.8585933E-13,-1.3118851E-12,-5.5635513E-07,-0.00023606268,-6.518704E-05,1.1672177,0.0106
39,-0.027983883,0.029260093,7.587933E-12,2.3285594E-12,-3.3113548E-07,-0.00025529947,-6.551818E-05,1.1969624,0.0109
40,-0.027925769,0.032019887,-9.142896E-12,3.6240733E-12,-1.0735598E-07,-0.00027594666,-6.562554E-05,1.2266865,0.0112
41,-0.027863083,0.035112556,-2.6666447E-12,1.376239E-13,1.12839395E-07,-0.00029807413,-6.55127E-05,1.2563884,0.0115
42,-0.027795533,0.03840103,-1.5889644E-12,-4.448679E-12,3.2272337E-07,-0.00032176755,-6.518999E-05,1.2860667,0.0117
43,-0.027722714,0.041864257,-2.5094716E-12,-4.831243E-13,5.0996334E-07,-0.00034711577,-6.468003E-05,1.3157195,0.012
44,-0.027644435,0.045668487,-5.023531E-12,-6.3640343E-12,6.625319E-07,-0.00037420317,-6.4017506E-05,1.3453453,0.0123
45,-0.027560193,0.049775667,-2.1450812E-12,-3.3370622E-12,7.7895373E-07,-0.0004031312,-6.323854E-05,1.3749422,0.0125
46,-0.027469693,0.054230496,-3.3356284E-12,1.2161233E-12,8.532676E-07,-0.00043399897,-6.238527E-05,1.4045081,0.0128
47,-0.027372736,0.05896685,3.1129524E-12,3.178336E-12,8.796034E-07,-0.00046689698,-6.1505656E-05,1.4340413,0.0131
48,-0.027268628,0.064090386,1.7096084E-12,-1.2229153E-12,8.5029217E-07,-0.00050191383,-6.065537E-05,1.4635394,0.0134
49,-0.027157167,0.06953313,-1.948299E-12,-3.9441185E-12,7.513171E-07,-0.0005391434,-5.9904058E-05,1.4930003,0.0136
50,-0.027037857,0.075270325,-9.4380745E-12,1.1949571E-11,5.7638425E-07,-0.00057867804,-5.9327685E-05,1.5224216,0.0139
51,-0.026910204,0.081361815,-1.9963785E-12,4.7916085E-12,3.1683268E-07,-0.00062060286,-5.901086E-05,1.551801,0.0142
52,-0.02677391,0.08786968,-1.7894543E-11,3.7762775E-12,-3.9148127E-08,-0.0006650018,-5.9050035E-05,1.581136,0.0145
53,-0.026628474,0.09475956,8.864191E-12,-9.652203E-12,-5.084265E-07,-0.0007119729,-5.955846E-05,1.6104239,0.0147
54,-0.026473302,0.10205879,2.111794E-11,-1.0179228E-11,-1.135414E-06,-0.00076159666,-6.0693852E-05,1.6396624,0.015
55,-0.026307998,0.109824635,-8.405122E-12,2.2544017E-12,-1.9273996E-06,-0.000813964,-6.262125E-05,1.6688484,0.0153
56,-0.026132066,0.118005745,8.0952546E-13,6.670881E-14,-2.9045968E-06,-0.00086915895,-6.5525855E-05,1.6979792,0.0155
57,-0.025945006,0.12673733,1.6261577E-11,1.9324885E-12,-4.0819264E-06,-0.0009272603,-6.960779E-05,1.727052,0.0158
58,-0.025746126,0.13596213,-6.780245E-12,-1.057344E-11,-5.4973125E-06,-0.0009883457,-7.510511E-05,1.7560637,0.0161
