sample,simulationStep,simulationStepsTime,neighborSearchTime,timeSteps,particles,solver,fViscosity,stiffness,iterations,timeStep,densityError,cfl,boundary,bViscosity,gamma1,gamma2,gamma3
43,10210,7.3592,1.3931,344,6838,IISPH,5,2000,17,0.015,0.0014943735,0.0003134053,Zero,5,1,1,1
44,10276,7.5319,1.41,345,6838,IISPH,5,2000,16,0.015,0.001492877,0.0002973213,Zero,5,1,1,1
45,10343,6.543,1.4159,346,6838,IISPH,5,2000,16,0.015,0.0014928511,0.0003062264,Zero,5,1,1,1
46,10410,7.5339,2.2328,347,6838,IISPH,5,2000,16,0.015,0.0014933028,0.0003005874,Zero,5,1,1,1
47,10476,7.1888,1.7276,348,6838,IISPH,5,2000,17,0.015,0.0014938961,0.00031640806,Zero,5,1,1,1
48,10543,8.1613,1.4015,349,6838,IISPH,5,2000,18,0.015,0.0014933543,0.00027808233,Zero,5,1,1,1
49,10609,6.8801,1.4264,350,6838,IISPH,5,2000,15,0.015,0.0014937671,0.00031438394,Zero,5,1,1,1
50,10676,7.1185,1.5836,351,6838,IISPH,5,2000,14,0.015,0.0014927222,0.00032657385,Zero,5,1,1,1
51,10743,6.7125,1.4176,352,6838,IISPH,5,2000,17,0.015,0.0014929672,0.00028891882,Zero,5,1,1,1
52,10809,6.2554,1.4361,353,6838,IISPH,5,2000,14,0.015,0.0014927738,0.00029705142,Zero,5,1,1,1
53,10876,7.0113,1.4218,354,6838,IISPH,5,2000,18,0.015,0.0014937671,0.0003351091,Zero,5,1,1,1
54,10942,7.0497,1.6307,355,6838,IISPH,5,2000,17,0.015,0.0014942058,0.00033509842,Zero,5,1,1,1
55,11009,6.4056,1.4818,356,6838,IISPH,5,2000,15,0.015,0.0014931092,0.0002884152,Zero,5,1,1,1
56,11076,8.0617,1.4071,357,6838,IISPH,5,2000,19,0.015,0.0014939478,0.00025114478,Zero,5,1,1,1
57,11142,6.735,1.4037,358,6838,IISPH,5,2000,15,0.015,0.0014928641,0.00024918313,Zero,5,1,1,1
58,11209,8.1363,1.701,359,6838,IISPH,5,2000,19,0.015,0.001494167,0.00024766536,Zero,5,1,1,1
59,11275,6.9497,2.0832,360,6838,IISPH,5,2000,15,0.015,0.0014933156,0.0002576513,Zero,5,1,1,1
60,11342,7.2777,1.4229,361,6838,IISPH,5,2000,16,0.015,0.0014935865,0.00025464268,Zero,5,1,1,1
61,11409,7.1273,1.4613,362,6838,IISPH,5,2000,17,0.015,0.0014937285,0.0002670043,Zero,5,1,1,1
62,11475,6.2741,1.4389,363,6838,IISPH,5,2000,14,0.015,0.001492606,0.00027289608,Zero,5,1,1,1
63,11542,6.8259,1.4137,364,6838,IISPH,5,2000,17,0.015,0.0014934576,0.00029905402,Zero,5,1,1,1
64,11608,7.2839,1.688,365,6838,IISPH,5,2000,18,0.015,0.0014945155,0.0002999417,Zero,5,1,1,1
65,11675,7.0701,2.192,366,6838,IISPH,5,2000,14,0.015,0.0014923997,0.0003058945,Zero,5,1,1,1
66,11742,6.9257,1.4273,367,6838,IISPH,5,2000,17,0.015,0.0014933673,0.00030490485,Zero,5,1,1,1
67,11808,6.9314,1.4284,368,6838,IISPH,5,2000,15,0.015,0.0014934188,0.00026850158,Zero,5,1,1,1
68,11875,6.0376,1.5849,369,6838,IISPH,5,2000,13,0.015,0.0014921803,0.00023300631,Zero,5,1,1,1
69,11941,6.2285,1.5611,370,6838,IISPH,5,2000,15,0.015,0.0014929931,0.00022925396,Zero,5,1,1,1
70,12008,5.394,1.4171,371,6838,IISPH,5,2000,15,0.015,0.0014934576,0.0002669645,Zero,5,1,1,1
71,12075,5.8342,1.4359,372,6838,IISPH,5,2000,15,0.015,0.001493406,0.00029172425,Zero,5,1,1,1
72,12141,6.1333,1.4453,373,6838,IISPH,5,2000,17,0.015,0.0014937413,0.00029662508,Zero,5,1,1,1
73,12208,6.2183,2.1104,374,6838,IISPH,5,2000,16,0.015,0.0014929672,0.00027390174,Zero,5,1,1,1
74,12274,5.736,1.4527,375,6838,IISPH,5,2000,17,0.015,0.0014929803,0.0002403357,Zero,5,1,1,1
75,12341,6.4011,1.4204,376,6838,IISPH,5,2000,16,0.015,0.0014930189,0.00021871775,Zero,5,1,1,1
76,12408,6.5822,1.6986,377,6838,IISPH,5,2000,19,0.015,0.0014937413,0.0002181118,Zero,5,1,1,1
77,12474,5.2381,1.4243,378,6838,IISPH,5,2000,15,0.015,0.0014930577,0.00023096311,Zero,5,1,1,1
78,12541,6.1719,1.4059,379,6838,IISPH,5,2000,16,0.015,0.001493922,0.00022419196,Zero,5,1,1,1
79,12607,6.5341,1.5145,380,6838,IISPH,5,2000,17,0.015,0.0014934962,0.00021712936,Zero,5,1,1,1
80,12674,5.4775,1.421,381,6838,IISPH,5,2000,16,0.015,0.0014931607,0.0002127956,Zero,5,1,1,1
81,12741,6.9048,1.4233,382,6838,IISPH,5,2000,21,0.015,0.0014940252,0.00020740845,Zero,5,1,1,1
82,12807,5.9377,1.4314,383,6838,IISPH,5,2000,17,0.015,0.0014936123,0.00020717051,Zero,5,1,1,1
83,12874,6.0933,1.5312,384,6838,IISPH,5,2000,18,0.015,0.0014939866,0.00021255753,Zero,5,1,1,1
84,12940,5.6226,1.4176,385,6838,IISPH,5,2000,14,0.015,0.0014926706,0.00022300324,Zero,5,1,1,1
85,13007,6.0461,1.4245,386,6838,IISPH,5,2000,15,0.015,0.0014931607,0.0002298624,Zero,5,1,1,1
86,13074,6.0225,1.4602,387,6838,IISPH,5,2000,18,0.015,0.0014938317,0.00023192343,Zero,5,1,1,1
87,13140,6.2906,1.4302,388,6838,IISPH,5,2000,19,0.015,0.0014938446,0.00022942912,Zero,5,1,1,1
88,13207,5.1245,1.4183,389,6838,IISPH,5,2000,14,0.015,0.0014924641,0.00022197943,Zero,5,1,1,1
