sample,simulationStep,simulationStepsTime,neighborSearchTime,timeSteps,particles,solver,fViscosity,stiffness,iterations,timeStep,densityError,cfl,boundary,bViscosity,gamma1,gamma2,gamma3
0,7286,12.324,1.4665,255,6508,IISPH,5,2000,36,0.035,0.005418943,0.0062840134,Extrapolation,5,1,1.9,1
1,7314,12.8236,1.4239,256,6508,IISPH,5,2000,39,0.035,0.005892077,0.0060913526,Extrapolation,5,1,1.9,1
2,7343,6.1891,1.604,257,6508,IISPH,5,2000,13,0.035,0.0052793683,0.005068809,Extrapolation,5,1,1.9,1
3,7371,8.6925,1.4208,258,6508,IISPH,5,2000,20,0.035,0.0049247663,0.0037385814,Extrapolation,5,1,1.9,1
4,7400,8.6234,2.3913,259,6508,IISPH,5,2000,20,0.035,0.0057748095,0.0054450715,Extrapolation,5,1,1.9,1
5,7428,9.7733,2.327,260,6508,IISPH,5,2000,24,0.035,0.0056996266,0.0050101946,Extrapolation,5,1,1.9,1
6,7457,11.2858,1.5245,261,6508,IISPH,5,2000,33,0.035,0.005262074,0.0050168983,Extrapolation,5,1,1.9,1
7,7486,8.575,1.522,262,6508,IISPH,5,2000,20,0.035,0.004429302,0.004072074,Extrapolation,5,1,1.9,1
8,7514,7.443,1.9861,263,6508,IISPH,5,2000,14,0.035,0.0049735783,0.004915415,Extrapolation,5,1,1.9,1
9,7543,13.5176,2.1557,264,6508,IISPH,5,2000,37,0.035,0.005547025,0.00537915,Extrapolation,5,1,1.9,1
10,7571,6.99,1.4234,265,6508,IISPH,5,2000,16,0.035,0.0048250183,0.0048914147,Extrapolation,5,1,1.9,1
11,7600,12.6453,2.1341,266,6508,IISPH,5,2000,35,0.035,0.0052073463,0.0044833743,Extrapolation,5,1,1.9,1
12,7628,9.2027,1.4419,267,6508,IISPH,5,2000,25,0.035,0.005344595,0.005361183,Extrapolation,5,1,1.9,1
13,7657,8.0796,1.763,268,6508,IISPH,5,2000,19,0.035,0.0047724126,0.004379341,Extrapolation,5,1,1.9,1
14,7686,6.2587,1.4429,269,6508,IISPH,5,2000,11,0.035,0.0047698617,0.004409513,Extrapolation,5,1,1.9,1
15,7714,10.3411,1.5935,270,6508,IISPH,5,2000,29,0.035,0.0065361685,0.0065068845,Extrapolation,5,1,1.9,1
16,7743,4.0533,1.446,271,6508,IISPH,5,2000,6,0.035,0.0049933116,0.0049565,Extrapolation,5,1,1.9,1
17,7771,5.8005,2.2454,272,6508,IISPH,5,2000,6,0.035,0.004557678,0.0041765044,Extrapolation,5,1,1.9,1
18,7800,6.3779,1.6797,273,6508,IISPH,5,2000,12,0.035,0.005251327,0.0044345725,Extrapolation,5,1,1.9,1
19,7828,11.2883,1.503,274,6508,IISPH,5,2000,32,0.035,0.00521868,0.0045936247,Extrapolation,5,1,1.9,1
20,7857,5.5231,1.4432,275,6508,IISPH,5,2000,8,0.035,0.004936077,0.0040879385,Extrapolation,5,1,1.9,1
21,7886,10.5512,1.4437,276,6508,IISPH,5,2000,29,0.035,0.004639544,0.0031446728,Extrapolation,5,1,1.9,1
22,7914,7.5223,1.4348,277,6508,IISPH,5,2000,19,0.035,0.0047630207,0.0042629596,Extrapolation,5,1,1.9,1
23,7943,14.737,1.6987,278,6508,IISPH,5,2000,36,0.035,0.005158308,0.003576643,Extrapolation,5,1,1.9,1
24,7971,8.565,1.4509,279,6508,IISPH,5,2000,23,0.035,0.005318066,0.0039873603,Extrapolation,5,1,1.9,1
25,8000,5.276,1.7143,280,6508,IISPH,5,2000,6,0.035,0.004230778,0.00396147,Extrapolation,5,1,1.9,1
26,8028,6.5926,1.5084,281,6508,IISPH,5,2000,17,0.035,0.005291763,0.0037909064,Extrapolation,5,1,1.9,1
27,8057,6.3457,1.4726,282,6508,IISPH,5,2000,15,0.035,0.004981774,0.0042761927,Extrapolation,5,1,1.9,1
28,8086,7.7842,1.4207,283,6508,IISPH,5,2000,16,0.035,0.004607236,0.0042939284,Extrapolation,5,1,1.9,1
29,8114,12.1327,1.7847,284,6508,IISPH,5,2000,34,0.035,0.005412892,0.005150857,Extrapolation,5,1,1.9,1
30,8143,7.5094,1.8329,285,6508,IISPH,5,2000,13,0.035,0.004577117,0.0034037945,Extrapolation,5,1,1.9,1
31,8171,6.4653,1.428,286,6508,IISPH,5,2000,15,0.035,0.004494619,0.0034739568,Extrapolation,5,1,1.9,1
32,8200,13.7535,1.4493,287,6508,IISPH,5,2000,43,0.035,0.0051210322,0.004097026,Extrapolation,5,1,1.9,1
33,8228,4.8625,1.4542,288,6508,IISPH,5,2000,10,0.035,0.0046188403,0.0033202684,Extrapolation,5,1,1.9,1
34,8257,10.4693,1.4264,289,6508,IISPH,5,2000,27,0.035,0.0043370053,0.0030559094,Extrapolation,5,1,1.9,1
35,8286,6.4242,1.6759,290,6508,IISPH,5,2000,14,0.035,0.004719491,0.0039670686,Extrapolation,5,1,1.9,1
36,8314,11.6236,2.1214,291,6508,IISPH,5,2000,30,0.035,0.0051437905,0.005120738,Extrapolation,5,1,1.9,1
37,8343,8.3126,1.4586,292,6508,IISPH,5,2000,19,0.035,0.0044294605,0.0033627632,Extrapolation,5,1,1.9,1
38,8371,10.1557,2.205,293,6508,IISPH,5,2000,26,0.035,0.0042402158,0.0029540402,Extrapolation,5,1,1.9,1
39,8400,6.9935,1.453,294,6508,IISPH,5,2000,14,0.035,0.0045141713,0.002949444,Extrapolation,5,1,1.9,1
40,8428,4.6183,1.4416,295,6508,IISPH,5,2000,9,0.035,0.004843261,0.003415881,Extrapolation,5,1,1.9,1
41,8457,11.9013,1.6187,296,6508,IISPH,5,2000,34,0.035,0.004550837,0.0034039372,Extrapolation,5,1,1.9,1
42,8486,8.7556,1.47,297,6508,IISPH,5,2000,19,0.035,0.004420768,0.0037771605,Extrapolation,5,1,1.9,1
43,8514,9.7463,1.4471,298,6508,IISPH,5,2000,26,0.035,0.0042069135,0.00304953,Extrapolation,5,1,1.9,1
44,8543,7.7964,2.4942,299,6508,IISPH,5,2000,13,0.035,0.004756518,0.0030866815,Extrapolation,5,1,1.9,1
45,8571,13.2443,1.7078,300,6508,IISPH,5,2000,39,0.035,0.0052402643,0.0029797258,Extrapolation,5,1,1.9,1
46,8600,5.1605,2.4257,301,6508,IISPH,5,2000,5,0.035,0.0042615063,0.002393481,Extrapolation,5,1,1.9,1
47,8628,6.359,1.4963,302,6508,IISPH,5,2000,14,0.035,0.004366266,0.0032343105,Extrapolation,5,1,1.9,1
48,8657,5.9159,1.4762,303,6508,IISPH,5,2000,14,0.035,0.0046867086,0.003094373,Extrapolation,5,1,1.9,1
49,8686,11.0137,1.5653,304,6508,IISPH,5,2000,28,0.035,0.0045085945,0.0028197002,Extrapolation,5,1,1.9,1
50,8714,11.0976,1.6885,305,6508,IISPH,5,2000,30,0.035,0.0045586037,0.0030232945,Extrapolation,5,1,1.9,1
51,8743,4.9192,1.4343,306,6508,IISPH,5,2000,8,0.035,0.0042713047,0.0027559192,Extrapolation,5,1,1.9,1
52,8771,9.6135,1.4307,307,6508,IISPH,5,2000,27,0.035,0.0046064,0.0031503493,Extrapolation,5,1,1.9,1
53,8800,8.0525,1.4553,308,6508,IISPH,5,2000,17,0.035,0.0046944525,0.0030266438,Extrapolation,5,1,1.9,1
54,8828,4.663,1.5016,309,6508,IISPH,5,2000,7,0.035,0.0043726554,0.0028664286,Extrapolation,5,1,1.9,1
