sample,relativeDensityError,localPressure,pressureAcceleration.X,pressureAcceleration.Y,viscosityAcceleration.X,viscosityAcceleration.Y,averageVelocity.X,averageVelocity.Y,CFL
0,0.04507174,111.23088,2.769429,0.10803381,0,0,2.769429,0.1380338,0.1136
1,0.048374135,115.9968,2.620826,0.10279744,-0.076350346,-0.0034486502,5.313905,0.2673826,0.2055
2,0.05771289,128.99146,2.1189346,0.08443224,-0.122828186,-0.0052189347,7.3100114,0.3765959,0.2443
3,0.07454733,151.44492,1.3409046,0.058090087,-0.115081206,-0.0048978142,8.535835,0.45978817,0.2217
4,0.09279251,173.28941,0.73191416,0.03804497,-0.0824555,-0.0037451673,9.185293,0.52408797,0.1633
5,0.102344945,178.4466,0.36726335,0.02402169,-0.060064267,-0.0029519412,9.492493,0.5751577,0.1864
6,0.09901146,160.8971,0.1366456,0.012016899,-0.050122816,-0.0026637684,9.579016,0.61451083,0.2021
7,0.084204674,128.78584,-0.05316624,-0.0008397968,-0.049301125,-0.0027074225,9.476548,0.6409636,0.2231
8,0.06141543,101.05801,-0.3399555,-0.010406251,-0.06194094,-0.0029266928,9.074652,0.6576307,0.2351
9,0.03594309,74.06365,-0.79073316,-0.015875794,-0.09484475,-0.0033413114,8.189074,0.6684136,0.2254
10,0.016123155,68.550995,-1.4434417,-0.015500024,-0.13594258,-0.0042408546,6.609689,0.67867273,0.1766
11,0.006222526,72.19957,-2.031624,-0.0043486594,-0.13035078,-0.004933347,4.4477143,0.6993907,0.1297
12,0.0033958752,82.28462,-2.3301246,0.010000977,-0.07200225,-0.004889348,2.0455878,0.7345023,0.1361
13,0.004890561,89.1096,-2.38573,0.020159286,0.0006755736,-0.003912261,-0.33946663,0.7807494,0.1462
14,0.011085768,97.644615,-2.2322755,0.020567257,0.06449481,-0.0027860287,-2.5072472,0.8285306,0.1685
15,0.02263377,110.01001,-1.8004643,0.013337954,0.09634909,-0.0020496517,-4.2113624,0.8698189,0.1765
16,0.03668437,130.64716,-1.2066422,0.00394646,0.09058409,-0.001724042,-5.3274207,0.9020413,0.1573
