sample,fps,frameDuration,particleCount
0,713.57214,1,1100
1,713.57214,1,1100
2,713.57214,1,1100
3,713.57214,1,1100
4,713.57214,1,1100
5,713.57214,1,1100
6,713.57214,1,1100
7,713.57214,1,1100
8,713.57214,1,1100
9,713.57214,1,1100
10,713.57214,1,1100
11,713.57214,1,1100
12,713.57214,1,1100
13,713.57214,1,1100
14,713.57214,1,1100
15,713.57214,1,1100
16,713.57214,1,1100
17,713.57214,1,1100
18,713.57214,1,1100
19,713.57214,1,1100
20,713.57214,1,1100
21,713.57214,1,1100
22,713.57214,1,1100
23,713.57214,1,1100
24,713.57214,1,1100
25,713.57214,1,1100
26,788.2705,1,1100
27,788.2705,1,1100
28,788.2705,1,1100
29,788.2705,1,1100
30,788.2705,1,1100
31,788.2705,1,1100
32,788.2705,1,1100
33,788.2705,1,1100
34,788.2705,1,1100
35,788.2705,1,1100
36,788.2705,1,1100
37,788.2705,1,1100
38,788.2705,1,1100
39,788.2705,1,1100
40,788.2705,1,1100
41,788.2705,1,1100
42,788.2705,1,1100
43,788.2705,1,1100
44,788.2705,1,1100
45,788.2705,1,1100
46,788.2705,1,1100
47,788.2705,1,1100
48,788.2705,1,1100
49,788.2705,1,1100
50,788.2705,1,1100
51,788.2705,1,1100
52,788.2705,1,1100
53,788.2705,1,1100
54,788.2705,1,1100
55,788.2705,1,1100
56,788.2705,1,1100
57,788.2705,1,1100
58,788.2705,1,1100
59,788.2705,1,1100
60,788.2705,1,1100
61,788.2705,1,1100
62,788.2705,1,1100
63,788.2705,1,1100
64,788.2705,1,1100
65,788.2705,1,1100
66,788.2705,1,1100
67,788.2705,1,1100
68,788.2705,1,1100
69,788.2705,1,1100
70,788.2705,1,1100
71,788.2705,1,1100
72,788.2705,1,1100
73,788.2705,1,1100
74,788.2705,1,1100
75,788.2705,1,1100
76,788.2705,1,1100
77,788.2705,1,1100
78,788.2705,1,1100
79,788.2705,1,1100
80,788.2705,1,1100
81,788.2705,1,1100
82,788.2705,1,1100
83,788.2705,1,1100
84,788.2705,1,1100
85,788.2705,1,1100
86,788.2705,1,1100
87,788.2705,1,1100
88,788.2705,1,1100
89,788.2705,1,1100
