sample,relativeDensityError,localPressure,pressureAcceleration.X,pressureAcceleration.Y,viscosityAcceleration.X,viscosityAcceleration.Y,averageVelocity.X,averageVelocity.Y,CFL
0,-0.0571534,0,-0,-0,0,0,0,0.060000002,0.0011
1,-0.0571534,0,-0,-0,0,0,0,0.120000005,0.0022
2,-0.0571534,0,-0,-0,0,0,0,0.18,0.0033
3,-0.0571534,0,-0,-0,0,0,0,0.24000001,0.0044
4,-0.0571534,0,-0,-0,0,0,0,0.3,0.0055
5,-0.0571534,0,-0,-0,0,0,0,0.36,0.0065
6,-0.0571534,0,-0,-0,0,0,0,0.42000002,0.0076
7,-0.0571534,0,-0,-0,0,0,0,0.48000002,0.0087
8,-0.0571534,0,-0,-0,0,0,0,0.54,0.0098
9,-0.0571534,0,-0,-0,0,0,0,0.6,0.0109
10,-0.0571534,0,-0,-0,0,0,0,0.66,0.012
11,-0.0571534,0,-0,-0,0,0,0,0.72,0.0131
12,-0.0571534,0,-0,-0,0,0,0,0.78000003,0.0142
13,-0.0571534,0,-0,-0,0,0,0,0.84000003,0.0153
14,-0.0571534,0,-0,-0,0,0,0,0.90000004,0.0164
15,-0.0571534,0,-0,-0,0,0,0,0.96000004,0.0175
16,-0.0571534,0,-0,-0,0,0,0,1.02,0.0185
17,-0.0571534,0,-0,-0,0,0,0,1.0799999,0.0196
18,-0.0571534,0,-0,-0,0,0,0,1.1399999,0.0207
19,-0.0571534,0,-0,-0,0,0,0,1.1999998,0.0218
20,-0.0571534,0,-0,-0,0,0,0,1.2599998,0.0229
21,-0.0571534,0,-0,-0,0,0,0,1.3199997,0.024
22,-0.0571534,0,-0,-0,0,0,0,1.3799996,0.0251
23,-0.0571534,0,-0,-0,0,0,0,1.4399996,0.0262
24,-0.0571534,0,-0,-0,0,0,0,1.4999995,0.0273
25,-0.0571534,0,-0,-0,0,0,0,1.5599995,0.0284
26,-0.0571534,0,-0,-0,0,0,0,1.6199994,0.0295
27,-0.0571534,0,-0,-0,0,0,0,1.6799994,0.0305
28,-0.0571534,0,-0,-0,0,0,0,1.7399993,0.0316
29,-0.0571534,0,-0,-0,0,0,0,1.7999992,0.0327
30,-0.0571534,0,-0,-0,0,0,0,1.8599992,0.0338
31,-0.0571534,0,-0,-0,0,0,0,1.9199991,0.0349
32,-0.0571534,0,-0,-0,0,0,0,1.9799991,0.036
33,-0.0571534,0,-0,-0,0,0,0,2.039999,0.0371
34,-0.0571534,0,-0,-0,0,0,0,2.099999,0.0382
35,-0.0571534,0,-0,-0,0,0,0,2.159999,0.0393
36,-0.0571534,0,-0,-0,0,0,0,2.2199988,0.0404
37,-0.0571534,0,-0,-0,0,0,0,2.2799988,0.0415
38,-0.0571534,0,-0,-0,0,0,0,2.3399987,0.0425
39,-0.0571534,0,-0,-0,0,0,0,2.3999987,0.0436
40,-0.0571534,0,-0,-0,0,0,0,2.4599986,0.0447
41,-0.0571534,0,-0,-0,0,0,0,2.5199986,0.0458
42,-0.0571534,0,-0,-0,0,0,0,2.5799985,0.0469
43,-0.0571534,0,-0,-0,0,0,0,2.6399984,0.048
44,-0.0571534,0,-0,-0,0,0,0,2.6999984,0.0491
45,-0.0571534,0,-0,-0,0,0,0,2.7599983,0.0502
46,-0.0571534,0,-0,-0,0,0,0,2.8199983,0.0513
47,-0.0571534,0,-0,-0,0,0,0,2.8799982,0.0524
48,-0.0571534,0,-0,-0,0,0,0,2.9399981,0.0535
49,-0.0571534,0,-0,-0,0,0,0,2.999998,0.0545
50,-0.0571534,0,-0,-0,0,0,0,3.059998,0.0556
51,-0.0571534,0,-0,-0,0,0,0,3.119998,0.0567
52,-0.0571534,0,-0,-0,0,0,0,3.179998,0.0578
53,-0.0571534,0,-0,-0,0,0,0,3.2399979,0.0589
54,-0.0571534,0,-0,-0,0,0,0,3.2999978,0.06
55,-0.0571534,0,-0,-0,0,0,0,3.3599977,0.0611
56,-0.0571534,0,-0,-0,0,0,0,3.4199977,0.0622
57,-0.0571534,0,-0,-0,0,0,0,3.4799976,0.0633
58,-0.0571534,0,-0,-0,0,0,0,3.5399976,0.0644
59,-0.0571534,0,-0,-0,0,0,0,3.5999975,0.0655
60,-0.0571534,0,-0,-0,0,0,0,3.6599975,0.0665
61,-0.0571534,0,-0,-0,0,0,0,3.7199974,0.0676
62,-0.0571534,0,-0,-0,0,0,0,3.7799973,0.0687
63,-0.0571534,0,-0,-0,0,0,0,3.8399973,0.0698
64,-0.0571534,0,-0,-0,0,0,0,3.8999972,0.0709
65,-0.0571534,0,-0,-0,0,0,0,3.9599972,0.072
66,-0.0571534,0,-0,-0,0,0,0,4.019997,0.0731
67,-0.0571534,0,-0,-0,0,0,0,4.079997,0.0742
68,-0.0571534,0,-0,-0,0,0,0,4.139997,0.0753
69,-0.0571534,0,-0,-0,0,0,0,4.199997,0.0764
70,-0.0571534,0,-0,-0,0,0,0,4.259997,0.0775
71,-0.0571534,0,-0,-0,0,0,0,4.319997,0.0785
72,-0.0571534,0,-0,-0,0,0,0,4.379997,0.0796
73,-0.0571534,0,-0,-0,0,0,0,4.4399967,0.0807
74,-0.0571534,0,-0,-0,0,0,0,4.4999967,0.0818
75,-0.0571534,0,-0,-0,0,0,0,4.5599966,0.0829
76,-0.0571534,0,-0,-0,0,0,0,4.6199965,0.084
77,-0.0571534,0,-0,-0,0,0,0,4.6799965,0.0851
