sample,fps,frameDuration,particleCount
0,786.53455,1,1224
1,786.53455,1,1224
2,786.53455,1,1224
3,786.53455,1,1224
4,786.53455,1,1224
5,786.53455,1,1224
6,786.53455,1,1224
7,786.53455,1,1224
8,786.53455,1,1224
9,786.53455,1,1224
10,786.53455,1,1224
11,786.53455,1,1224
12,786.53455,1,1224
13,786.53455,1,1224
14,786.53455,1,1224
15,786.53455,1,1224
16,786.53455,1,1224
17,786.53455,1,1224
18,786.53455,1,1224
19,786.53455,1,1224
20,786.53455,1,1224
21,786.53455,1,1224
22,786.53455,1,1224
23,786.53455,1,1224
24,786.53455,1,1224
25,786.53455,1,1224
26,786.53455,1,1224
27,786.53455,1,1224
28,786.53455,1,1224
29,786.53455,1,1224
30,786.53455,1,1224
31,786.53455,1,1224
32,786.53455,1,1224
33,786.53455,1,1224
34,786.53455,1,1224
35,786.53455,1,1224
36,786.53455,1,1224
37,786.53455,1,1224
38,786.53455,1,1224
39,786.53455,1,1224
40,786.53455,1,1224
41,786.53455,1,1224
42,786.53455,1,1224
43,786.53455,1,1224
44,786.53455,1,1224
45,786.53455,1,1224
46,786.53455,1,1224
47,786.53455,1,1224
48,786.53455,1,1224
49,786.53455,1,1224
50,786.53455,1,1224
51,786.53455,1,1224
52,786.53455,1,1224
53,786.53455,1,1224
54,786.53455,1,1224
55,786.53455,1,1224
56,786.53455,1,1224
57,786.53455,1,1224
58,786.53455,1,1224
59,786.53455,1,1224
60,786.53455,1,1224
61,786.53455,1,1224
62,786.53455,1,1224
63,786.53455,1,1224
64,786.53455,1,1224
65,786.53455,1,1224
66,786.53455,1,1224
67,786.53455,1,1224
68,786.53455,1,1224
69,786.53455,1,1224
70,786.53455,1,1224
71,786.53455,1,1224
72,786.53455,1,1224
73,786.53455,1,1224
74,786.53455,1,1224
75,786.53455,1,1224
76,786.53455,1,1224
77,786.53455,1,1224
78,786.53455,1,1224
79,786.53455,1,1224
80,786.53455,1,1224
81,786.53455,1,1224
82,786.53455,1,1224
83,786.53455,1,1224
84,786.53455,1,1224
85,786.53455,1,1224
86,786.53455,1,1224
87,786.53455,1,1224
88,786.53455,1,1224
89,786.53455,1,1224
90,786.53455,1,1224
91,786.53455,1,1224
92,786.53455,1,1224
93,786.53455,1,1224
94,786.53455,1,1224
95,786.53455,1,1224
96,786.53455,1,1224
97,786.53455,1,1224
98,786.53455,1,1224
99,786.53455,1,1224
100,786.53455,1,1224
101,786.53455,1,1224
102,786.53455,1,1224
103,786.53455,1,1224
104,786.53455,1,1224
105,786.53455,1,1224
106,786.53455,1,1224
107,786.53455,1,1224
108,786.53455,1,1224
109,786.53455,1,1224
110,786.53455,1,1224
111,786.53455,1,1224
112,786.53455,1,1224
113,786.53455,1,1224
114,786.53455,1,1224
115,786.53455,1,1224
116,786.53455,1,1224
117,786.53455,1,1224
118,786.53455,1,1224
119,786.53455,1,1224
120,786.53455,1,1224
121,890.7892,1,1224
122,890.7892,1,1224
123,890.7892,1,1224
124,890.7892,1,1224
125,890.7892,1,1224
126,890.7892,1,1224
127,890.7892,1,1224
128,890.7892,1,1224
129,890.7892,1,1224
130,890.7892,1,1224
131,890.7892,1,1224
132,890.7892,1,1224
133,890.7892,1,1224
134,890.7892,1,1224
135,890.7892,1,1224
136,890.7892,1,1224
137,890.7892,1,1224
138,890.7892,1,1224
139,890.7892,1,1224
140,890.7892,1,1224
141,890.7892,1,1224
142,890.7892,1,1224
143,890.7892,1,1224
144,890.7892,1,1224
145,890.7892,1,1224
146,890.7892,1,1224
147,890.7892,1,1224
148,890.7892,1,1224
149,890.7892,1,1224
150,890.7892,1,1224
151,890.7892,1,1224
152,890.7892,1,1224
153,890.7892,1,1224
154,890.7892,1,1224
155,890.7892,1,1224
156,890.7892,1,1224
157,890.7892,1,1224
158,890.7892,1,1224
159,890.7892,1,1224
160,890.7892,1,1224
161,890.7892,1,1224
162,890.7892,1,1224
163,890.7892,1,1224
164,890.7892,1,1224
165,890.7892,1,1224
166,890.7892,1,1224
167,890.7892,1,1224
168,890.7892,1,1224
169,890.7892,1,1224
170,890.7892,1,1224
171,890.7892,1,1224
172,890.7892,1,1224
173,890.7892,1,1224
174,890.7892,1,1224
175,890.7892,1,1224
176,890.7892,1,1224
177,890.7892,1,1224
178,890.7892,1,1224
179,890.7892,1,1224
180,890.7892,1,1224
181,890.7892,1,1224
182,890.7892,1,1224
183,890.7892,1,1224
184,890.7892,1,1224
185,890.7892,1,1224
186,890.7892,1,1224
187,890.7892,1,1224
188,890.7892,1,1224
189,890.7892,1,1224
190,890.7892,1,1224
191,890.7892,1,1224
192,890.7892,1,1224
193,890.7892,1,1224
194,890.7892,1,1224
195,890.7892,1,1224
196,890.7892,1,1224
197,890.7892,1,1224
198,890.7892,1,1224
199,890.7892,1,1224
200,890.7892,1,1224
201,890.7892,1,1224
202,890.7892,1,1224
203,890.7892,1,1224
204,890.7892,1,1224
205,890.7892,1,1224
206,890.7892,1,1224
207,890.7892,1,1224
208,890.7892,1,1224
209,890.7892,1,1224
210,890.7892,1,1224
211,890.7892,1,1224
212,890.7892,1,1224
213,890.7892,1,1224
214,890.7892,1,1224
215,890.7892,1,1224
216,890.7892,1,1224
217,890.7892,1,1224
218,890.7892,1,1224
219,890.7892,1,1224
220,890.7892,1,1224
221,890.7892,1,1224
222,890.7892,1,1224
223,890.7892,1,1224
224,890.7892,1,1224
225,890.7892,1,1224
226,890.7892,1,1224
227,890.7892,1,1224
228,890.7892,1,1224
229,890.7892,1,1224
230,890.7892,1,1224
231,890.7892,1,1224
232,890.7892,1,1224
233,890.7892,1,1224
234,890.7892,1,1224
235,890.7892,1,1224
236,890.7892,1,1224
237,890.7892,1,1224
238,890.7892,1,1224
239,890.7892,1,1224
240,890.7892,1,1224
241,890.7892,1,1224
242,890.7892,1,1224
243,890.7892,1,1224
244,890.7892,1,1224
245,890.7892,1,1224
246,890.7892,1,1224
247,890.7892,1,1224
248,890.7892,1,1224
249,890.7892,1,1224
250,890.7892,1,1224
251,890.7892,1,1224
252,890.7892,1,1224
253,890.7892,1,1224
254,890.7892,1,1224
255,890.7892,1,1224
256,890.7892,1,1224
257,890.7892,1,1224
258,890.7892,1,1224
259,890.7892,1,1224
260,890.7892,1,1224
261,890.7892,1,1224
262,890.7892,1,1224
263,890.7892,1,1224
264,890.7892,1,1224
265,890.7892,1,1224
266,890.7892,1,1224
267,890.7892,1,1224
268,890.7892,1,1224
269,890.7892,1,1224
270,890.7892,1,1224
271,890.7892,1,1224
272,890.7892,1,1224
273,890.7892,1,1224
274,890.7892,1,1224
275,890.7892,1,1224
276,890.7892,1,1224
277,890.7892,1,1224
278,890.7892,1,1224
279,890.7892,1,1224
280,890.7892,1,1224
281,890.7892,1,1224
282,890.7892,1,1224
283,890.7892,1,1224
284,890.7892,1,1224
285,890.7892,1,1224
286,890.7892,1,1224
287,890.7892,1,1224
288,890.7892,1,1224
289,890.7892,1,1224
290,890.7892,1,1224
291,890.7892,1,1224
292,890.7892,1,1224
293,890.7892,1,1224
294,890.7892,1,1224
295,890.7892,1,1224
296,890.7892,1,1224
297,890.7892,1,1224
298,890.7892,1,1224
299,890.7892,1,1224
300,890.7892,1,1224
301,890.7892,1,1224
302,890.7892,1,1224
303,890.7892,1,1224
304,890.7892,1,1224
305,890.7892,1,1224
306,890.7892,1,1224
307,890.7892,1,1224
308,890.7892,1,1224
309,890.7892,1,1224
310,890.7892,1,1224
311,890.7892,1,1224
312,890.7892,1,1224
313,890.7892,1,1224
314,890.7892,1,1224
315,890.7892,1,1224
316,890.7892,1,1224
317,890.7892,1,1224
318,890.7892,1,1224
319,890.7892,1,1224
320,890.7892,1,1224
321,890.7892,1,1224
322,890.7892,1,1224
323,890.7892,1,1224
324,890.7892,1,1224
325,890.7892,1,1224
326,890.7892,1,1224
327,890.7892,1,1224
328,890.7892,1,1224
329,890.7892,1,1224
330,890.7892,1,1224
331,890.7892,1,1224
332,890.7892,1,1224
333,890.7892,1,1224
334,890.7892,1,1224
335,890.7892,1,1224
336,890.7892,1,1224
337,890.7892,1,1224
338,890.7892,1,1224
339,890.7892,1,1224
340,890.7892,1,1224
341,890.7892,1,1224
342,890.7892,1,1224
343,890.7892,1,1224
344,890.7892,1,1224
345,890.7892,1,1224
346,890.7892,1,1224
347,890.7892,1,1224
348,890.7892,1,1224
349,890.7892,1,1224
350,890.7892,1,1224
351,890.7892,1,1224
352,890.7892,1,1224
353,890.7892,1,1224
354,890.7892,1,1224
355,890.7892,1,1224
356,890.7892,1,1224
357,890.7892,1,1224
358,890.7892,1,1224
359,890.7892,1,1224
360,890.7892,1,1224
361,890.7892,1,1224
362,890.7892,1,1224
363,890.7892,1,1224
364,890.7892,1,1224
365,890.7892,1,1224
366,890.7892,1,1224
367,890.7892,1,1224
368,890.7892,1,1224
369,890.7892,1,1224
370,890.7892,1,1224
371,890.7892,1,1224
372,890.7892,1,1224
373,890.7892,1,1224
374,890.7892,1,1224
375,890.7892,1,1224
376,823.9947,1,1224
377,823.9947,1,1224
378,823.9947,1,1224
379,823.9947,1,1224
380,823.9947,1,1224
381,823.9947,1,1224
382,823.9947,1,1224
383,823.9947,1,1224
384,823.9947,1,1224
385,823.9947,1,1224
386,823.9947,1,1224
387,823.9947,1,1224
388,823.9947,1,1224
389,823.9947,1,1224
390,823.9947,1,1224
391,823.9947,1,1224
392,823.9947,1,1224
393,823.9947,1,1224
394,823.9947,1,1224
395,823.9947,1,1224
396,823.9947,1,1224
397,823.9947,1,1224
398,823.9947,1,1224
399,823.9947,1,1224
400,823.9947,1,1224
401,823.9947,1,1224
402,823.9947,1,1224
403,823.9947,1,1224
404,823.9947,1,1224
405,823.9947,1,1224
406,823.9947,1,1224
407,823.9947,1,1224
408,823.9947,1,1224
409,823.9947,1,1224
410,823.9947,1,1224
411,823.9947,1,1224
412,823.9947,1,1224
413,823.9947,1,1224
414,823.9947,1,1224
415,823.9947,1,1224
416,823.9947,1,1224
417,823.9947,1,1224
418,823.9947,1,1224
419,823.9947,1,1224
420,823.9947,1,1224
421,823.9947,1,1224
422,823.9947,1,1224
423,823.9947,1,1224
424,823.9947,1,1224
425,823.9947,1,1224
426,823.9947,1,1224
427,823.9947,1,1224
428,823.9947,1,1224
429,823.9947,1,1224
430,823.9947,1,1224
431,823.9947,1,1224
432,823.9947,1,1224
433,823.9947,1,1224
434,823.9947,1,1224
435,823.9947,1,1224
436,823.9947,1,1224
437,823.9947,1,1224
438,823.9947,1,1224
439,823.9947,1,1224
440,823.9947,1,1224
441,823.9947,1,1224
442,823.9947,1,1224
443,823.9947,1,1224
444,823.9947,1,1224
445,823.9947,1,1224
446,823.9947,1,1224
447,823.9947,1,1224
448,823.9947,1,1224
449,823.9947,1,1224
450,823.9947,1,1224
451,823.9947,1,1224
452,823.9947,1,1224
453,823.9947,1,1224
454,823.9947,1,1224
455,823.9947,1,1224
456,823.9947,1,1224
457,823.9947,1,1224
458,823.9947,1,1224
459,823.9947,1,1224
460,823.9947,1,1224
461,823.9947,1,1224
462,823.9947,1,1224
463,823.9947,1,1224
464,823.9947,1,1224
465,823.9947,1,1224
466,823.9947,1,1224
467,823.9947,1,1224
468,823.9947,1,1224
469,823.9947,1,1224
470,823.9947,1,1224
471,823.9947,1,1224
472,823.9947,1,1224
473,823.9947,1,1224
474,823.9947,1,1224
475,823.9947,1,1224
476,823.9947,1,1224
477,823.9947,1,1224
478,823.9947,1,1224
479,823.9947,1,1224
480,823.9947,1,1224
481,823.9947,1,1224
482,823.9947,1,1224
483,823.9947,1,1224
484,823.9947,1,1224
485,823.9947,1,1224
486,823.9947,1,1224
487,823.9947,1,1224
488,823.9947,1,1224
489,604.0471,1,1224
490,604.0471,1,1224
491,604.0471,1,1224
492,604.0471,1,1224
493,604.0471,1,1224
494,604.0471,1,1224
495,604.0471,1,1224
496,604.0471,1,1224
497,604.0471,1,1224
498,604.0471,1,1224
499,604.0471,1,1224
500,604.0471,1,1224
501,604.0471,1,1224
502,604.0471,1,1224
503,604.0471,1,1224
504,604.0471,1,1224
505,604.0471,1,1224
506,604.0471,1,1224
507,604.0471,1,1224
508,604.0471,1,1224
509,604.0471,1,1224
510,604.0471,1,1224
511,604.0471,1,1224
512,604.0471,1,1224
513,604.0471,1,1224
514,604.0471,1,1224
515,604.0471,1,1224
516,604.0471,1,1224
517,604.0471,1,1224
518,604.0471,1,1224
519,604.0471,1,1224
520,604.0471,1,1224
521,604.0471,1,1224
522,604.0471,1,1224
523,604.0471,1,1224
524,604.0471,1,1224
525,604.0471,1,1224
526,604.0471,1,1224
527,604.0471,1,1224
528,604.0471,1,1224
529,604.0471,1,1224
530,604.0471,1,1224
531,604.0471,1,1224
532,604.0471,1,1224
533,604.0471,1,1224
534,604.0471,1,1224
535,604.0471,1,1224
536,604.0471,1,1224
537,604.0471,1,1224
538,604.0471,1,1224
539,604.0471,1,1224
540,604.0471,1,1224
541,604.0471,1,1224
542,604.0471,1,1224
543,604.0471,1,1224
544,604.0471,1,1224
545,604.0471,1,1224
546,604.0471,1,1224
547,604.0471,1,1224
548,604.0471,1,1224
549,604.0471,1,1224
550,604.0471,1,1224
551,604.0471,1,1224
552,604.0471,1,1224
553,604.0471,1,1224
554,604.0471,1,1224
555,604.0471,1,1224
556,604.0471,1,1224
557,604.0471,1,1224
558,604.0471,1,1224
559,604.0471,1,1224
560,604.0471,1,1224
561,604.0471,1,1224
562,604.0471,1,1224
563,604.0471,1,1224
564,604.0471,1,1224
565,604.0471,1,1224
566,604.0471,1,1224
567,604.0471,1,1224
568,604.0471,1,1224
569,604.0471,1,1224
570,604.0471,1,1224
571,604.0471,1,1224
572,604.0471,1,1224
573,604.0471,1,1224
574,604.0471,1,1224
575,604.0471,1,1224
576,604.0471,1,1224
577,604.0471,1,1224
578,604.0471,1,1224
579,604.0471,1,1224
580,683.0601,1,1224
581,683.0601,1,1224
582,683.0601,1,1224
583,683.0601,1,1224
584,683.0601,1,1224
585,683.0601,1,1224
586,683.0601,1,1224
587,683.0601,1,1224
588,683.0601,1,1224
589,683.0601,1,1224
590,683.0601,1,1224
591,683.0601,1,1224
592,683.0601,1,1224
593,683.0601,1,1224
594,683.0601,1,1224
595,683.0601,1,1224
596,683.0601,1,1224
597,683.0601,1,1224
598,683.0601,1,1224
599,683.0601,1,1224
600,683.0601,1,1224
601,683.0601,1,1224
602,683.0601,1,1224
603,683.0601,1,1224
604,683.0601,1,1224
605,683.0601,1,1224
606,683.0601,1,1224
607,683.0601,1,1224
608,683.0601,1,1224
609,683.0601,1,1224
610,683.0601,1,1224
611,683.0601,1,1224
612,683.0601,1,1224
613,683.0601,1,1224
614,683.0601,1,1224
615,683.0601,1,1224
616,683.0601,1,1224
617,683.0601,1,1224
618,683.0601,1,1224
619,683.0601,1,1224
620,683.0601,1,1224
621,683.0601,1,1224
622,683.0601,1,1224
623,683.0601,1,1224
624,683.0601,1,1224
625,683.0601,1,1224
626,683.0601,1,1224
627,683.0601,1,1224
628,683.0601,1,1224
629,683.0601,1,1224
630,683.0601,1,1224
631,683.0601,1,1224
632,683.0601,1,1224
633,683.0601,1,1224
634,683.0601,1,1224
635,683.0601,1,1224
636,683.0601,1,1224
637,683.0601,1,1224
638,683.0601,1,1224
639,683.0601,1,1224
640,683.0601,1,1224
641,683.0601,1,1224
642,683.0601,1,1224
643,683.0601,1,1224
644,683.0601,1,1224
645,683.0601,1,1224
646,683.0601,1,1224
647,683.0601,1,1224
648,683.0601,1,1224
649,683.0601,1,1224
650,683.0601,1,1224
651,683.0601,1,1224
652,683.0601,1,1224
653,683.0601,1,1224
654,683.0601,1,1224
655,683.0601,1,1224
656,683.0601,1,1224
657,683.0601,1,1224
658,683.0601,1,1224
659,683.0601,1,1224
660,683.0601,1,1224
661,683.0601,1,1224
662,683.0601,1,1224
663,683.0601,1,1224
664,683.0601,1,1224
665,683.0601,1,1224
666,683.0601,1,1224
667,683.0601,1,1224
668,683.0601,1,1224
669,683.0601,1,1224
670,683.0601,1,1224
671,683.0601,1,1224
672,683.0601,1,1224
673,683.0601,1,1224
674,683.0601,1,1224
675,683.0601,1,1224
676,683.0601,1,1224
677,683.0601,1,1224
678,683.0601,1,1224
679,683.0601,1,1224
680,683.0601,1,1224
681,683.0601,1,1224
682,683.0601,1,1224
683,683.0601,1,1224
684,683.0601,1,1224
685,683.0601,1,1224
686,683.0601,1,1224
687,683.0601,1,1224
688,683.0601,1,1224
689,683.0601,1,1224
690,683.0601,1,1224
691,683.0601,1,1224
692,683.0601,1,1224
693,683.0601,1,1224
694,683.0601,1,1224
695,683.0601,1,1224
696,699.5942,1,1224
697,699.5942,1,1224
698,699.5942,1,1224
699,699.5942,1,1224
700,699.5942,1,1224
701,699.5942,1,1224
702,699.5942,1,1224
703,699.5942,1,1224
704,699.5942,1,1224
705,699.5942,1,1224
706,699.5942,1,1224
707,699.5942,1,1224
708,699.5942,1,1224
709,699.5942,1,1224
710,699.5942,1,1224
711,699.5942,1,1224
712,699.5942,1,1224
713,699.5942,1,1224
714,699.5942,1,1224
715,699.5942,1,1224
716,699.5942,1,1224
717,699.5942,1,1224
718,699.5942,1,1224
719,699.5942,1,1224
720,699.5942,1,1224
721,699.5942,1,1224
722,699.5942,1,1224
723,699.5942,1,1224
724,699.5942,1,1224
725,699.5942,1,1224
726,699.5942,1,1224
727,699.5942,1,1224
728,699.5942,1,1224
729,699.5942,1,1224
730,699.5942,1,1224
731,699.5942,1,1224
732,699.5942,1,1224
733,699.5942,1,1224
734,699.5942,1,1224
735,699.5942,1,1224
736,699.5942,1,1224
737,699.5942,1,1224
738,699.5942,1,1224
739,699.5942,1,1224
740,699.5942,1,1224
741,699.5942,1,1224
742,699.5942,1,1224
743,699.5942,1,1224
744,699.5942,1,1224
745,699.5942,1,1224
746,699.5942,1,1224
747,699.5942,1,1224
748,699.5942,1,1224
749,699.5942,1,1224
750,699.5942,1,1224
751,699.5942,1,1224
752,699.5942,1,1224
753,699.5942,1,1224
754,699.5942,1,1224
755,699.5942,1,1224
756,699.5942,1,1224
757,699.5942,1,1224
758,699.5942,1,1224
759,699.5942,1,1224
760,699.5942,1,1224
761,699.5942,1,1224
762,699.5942,1,1224
763,699.5942,1,1224
764,699.5942,1,1224
765,699.5942,1,1224
766,699.5942,1,1224
767,699.5942,1,1224
768,699.5942,1,1224
769,699.5942,1,1224
770,699.5942,1,1224
771,699.5942,1,1224
772,699.5942,1,1224
773,699.5942,1,1224
774,699.5942,1,1224
775,699.5942,1,1224
776,699.5942,1,1224
777,699.5942,1,1224
778,699.5942,1,1224
779,699.5942,1,1224
780,699.5942,1,1224
781,699.5942,1,1224
782,699.5942,1,1224
783,699.5942,1,1224
784,699.5942,1,1224
785,699.5942,1,1224
