sample,relativeDensityError,localPressure,pressureAcceleration.X,pressureAcceleration.Y,viscosityAcceleration.X,viscosityAcceleration.Y,averageVelocity.X,averageVelocity.Y,CFL
0,-0.0011127193,7.2226677,0.2202916,-0.010843094,0,0,0.2202916,0.019156907,0.0187
1,-0.0005888939,8.256037,0.18784946,-0.010315599,-0.0032604546,7.78236E-05,0.4048806,0.038919132,0.0314
2,0.00031332174,9.902061,0.13495979,-0.00946312,-0.005351651,0.000116297466,0.53448874,0.059572313,0.0356
3,0.0013256073,11.430241,0.07811278,-0.00851631,-0.00595957,0.00010456424,0.60664195,0.08116057,0.0323
4,0.0021283824,12.069465,0.031598922,-0.007572754,-0.0054769423,5.1935593E-05,0.6327639,0.10363975,0.0241
5,0.002470513,11.392262,0.002260673,-0.0071391263,-0.004653724,-2.4464234E-05,0.63037086,0.12647617,0.0156
6,0.0022509694,9.565085,-0.0010604126,-0.006736783,-0.0041884687,-0.00010943065,0.625122,0.14962995,0.015
7,0.0015300511,7.080072,-0.025430018,-0.0061159986,-0.004580431,-0.00019116786,0.59511155,0.17332278,0.0142
8,0.00048389036,6.746372,-0.084182456,-0.0053554783,-0.005370639,-0.00026320526,0.50555843,0.1977041,0.0138
9,-0.0005785624,6.8124824,-0.1310622,-0.0045877136,-0.00562309,-0.0003320481,0.36887318,0.22278434,0.0111
10,-0.0014357765,6.581004,-0.15969454,-0.0040443866,-0.004693879,-0.00040130332,0.20448476,0.24833865,0.0086
11,-0.0019455949,6.3063025,-0.16689548,-0.0036493824,-0.002786353,-0.00047312636,0.034802932,0.27421615,0.0097
12,-0.002065897,6.0732856,-0.15161483,-0.003216263,-0.0005085509,-0.00054709864,-0.117320456,0.3004528,0.0099
13,-0.001848936,5.8398128,-0.11707908,-0.002896577,0.0014397212,-0.000622526,-0.2329598,0.32693368,0.0088
14,-0.001425147,5.9533515,-0.06915086,-0.0027962197,0.00255321,-0.00069434394,-0.29955745,0.35344312,0.0091
15,-0.0009701649,6.66038,-0.018256392,-0.0026595017,0.0026595227,-0.00075719634,-0.3151543,0.38002643,0.0095
