sample,relativeDensityError,localPressure,CFL
291,0,0,0.0108
292,0,0,0.0107
293,0,0,0.0106
294,0,0,0.0106
295,0,0,0.0105
296,0,0,0.0104
297,0,0,0.0104
298,0,0,0.0103
299,0,0,0.0102
300,0,0,0.0102
301,0,0,0.0101
302,0,0,0.01
303,0,0,0.01
304,0,0,0.0099
305,0,0,0.0098
306,0,0,0.0098
307,0,0,0.0097
308,0,0,0.0096
309,0,0,0.0096
310,0,0,0.0095
311,0,0,0.0094
312,0,0,0.0094
313,0,0,0.0093
314,0,0,0.0092
315,0,0,0.0092
316,0,0,0.0091
317,0,0,0.009
318,0,0,0.009
319,0,0,0.0089
320,0,0,0.0088
321,0,0,0.0088
322,0,0,0.0087
323,0,0,0.0086
324,0,0,0.0086
325,0,0,0.0085
326,0,0,0.0084
327,0,0,0.0084
328,0,0,0.0083
329,0,0,0.0083
330,0,0,0.0082
331,0,0,0.0081
332,0,0,0.0081
333,0,0,0.008
334,0,0,0.0079
335,0,0,0.0079
336,0,0,0.0078
337,0,0,0.0077
338,0,0,0.0077
339,0,0,0.0076
340,0,0,0.0075
341,0,0,0.0075
342,0,0,0.0074
343,0,0,0.0073
344,0,0,0.0073
345,0,0,0.0072
346,0,0,0.0071
347,0,0,0.0071
348,0,0,0.007
349,0,0,0.0069
350,0,0,0.0069
351,0,0,0.0068
352,0,0,0.0068
353,0,0,0.0067
354,0,0,0.0066
355,0,0,0.0066
356,0,0,0.0065
357,0,0,0.0064
358,0,0,0.0064
359,0,0,0.0063
360,0,0,0.0062
361,0,0,0.0062
362,0,0,0.0061
363,0,0,0.006
364,0,0,0.006
365,0,0,0.0059
366,0,0,0.0059
367,0,0,0.0058
368,0,0,0.0057
369,0,0,0.0057
370,0,0,0.0056
371,0,0,0.0055
372,0,0,0.0055
373,0,0,0.0054
374,0,0,0.0054
375,0,0,0.0053
376,0,0,0.0052
377,0,0,0.0052
378,0,0,0.0051
379,0,0,0.005
380,0,0,0.005
381,0,0,0.0049
382,0,0,0.0049
383,0,0,0.0048
384,0,0,0.0047
385,0,0,0.0047
386,0,0,0.0046
387,0,0,0.0046
388,0,0,0.0045
389,0,0,0.0044
390,0,0,0.0044
391,0,0,0.0043
392,0,0,0.0043
393,0,0,0.0042
394,0,0,0.0041
395,0,0,0.0041
396,0,0,0.004
397,0,0,0.004
398,0,0,0.0039
399,0,0,0.0039
400,0,0,0.0038
401,0,0,0.0037
402,0,0,0.0037
403,0,0,0.0036
404,0,0,0.0036
405,0,0,0.0035
406,0,0,0.0035
407,0,0,0.0034
408,0,0,0.0034
409,0,0,0.0033
410,0,0,0.0033
411,0,0,0.0032
412,0,0,0.0032
413,0,0,0.0031
414,0,0,0.0031
415,0,0,0.003
416,0,0,0.003
417,0,0,0.0029
418,0,0,0.0029
419,0,0,0.0028
420,0,0,0.0028
421,0,0,0.0028
422,0,0,0.0027
423,0,0,0.0027
424,0,0,0.0026
425,0,0,0.0026
426,0,0,0.0026
427,0,0,0.0025
428,0,0,0.0025
429,0,0,0.0025
430,0,0,0.0024
431,0,0,0.0024
432,0,0,0.0024
433,0,0,0.0023
434,0,0,0.0023
435,0,0,0.0023
436,0,0,0.0023
437,0,0,0.0023
438,0,0,0.0022
439,0,0,0.0022
440,0,0,0.0022
441,0,0,0.0022
442,0,0,0.0022
443,0,0,0.0022
444,0,0,0.0022
445,0,0,0.0022
446,0,0,0.0022
447,0,0,0.0022
448,0,0,0.0022
449,0,0,0.0022
450,0,0,0.0022
451,0,0,0.0022
452,0,0,0.0022
453,0,0,0.0022
454,0,0,0.0022
455,0,0,0.0023
456,0,0,0.0023
457,0,0,0.0023
458,0,0,0.0023
459,0,0,0.0024
460,0,0,0.0024
461,0,0,0.0024
462,0,0,0.0024
463,0,0,0.0025
464,0,0,0.0025
465,0,0,0.0025
466,0,0,0.0026
467,0,0,0.0026
468,0,0,0.0027
469,0,0,0.0027
470,0,0,0.0027
471,0,0,0.0028
472,0,0,0.0028
473,0,0,0.0029
474,0,0,0.0029
475,0,0,0.003
476,0,0,0.003
477,0,0,0.003
478,0,0,0.0031
479,0,0,0.0031
480,0,0,0.0032
481,0,0,0.0032
482,0,0,0.0033
483,0,0,0.0033
484,0,0,0.0034
485,0,0,0.0035
486,0,0,0.0035
487,0,0,0.0036
488,0,0,0.0036
489,0,0,0.0037
490,0,0,0.0037
491,0,0,0.0038
492,0,0,0.0038
493,0,0,0.0039
494,0,0,0.0039
495,0,0,0.004
496,0,0,0.0041
497,0,0,0.0041
498,0,0,0.0042
499,0,0,0.0042
500,0,0,0.0043
501,0,0,0.0044
502,0,0,0.0044
503,0,0,0.0045
504,0,0,0.0045
505,0,0,0.0046
506,0,0,0.0047
507,0,0,0.0047
508,0,0,0.0048
509,0,0,0.0048
510,0,0,0.0049
511,0,0,0.005
512,0,0,0.005
513,0,0,0.0051
514,0,0,0.0051
515,0,0,0.0052
516,0,0,0.0053
517,0,0,0.0053
518,0,0,0.0054
519,0,0,0.0054
520,0,0,0.0055
521,0,0,0.0056
522,0,0,0.0056
523,0,0,0.0057
524,0,0,0.0058
525,0,0,0.0058
526,0,0,0.0059
527,0,0,0.006
528,0,0,0.006
529,0,0,0.0061
530,0,0,0.0061
531,0,0,0.0062
532,0,0,0.0063
533,0,0,0.0063
534,0,0,0.0064
535,0,0,0.0065
536,0,0,0.0065
537,0,0,0.0066
538,0,0,0.0067
539,0,0,0.0067
540,0,0,0.0068
541,0,0,0.0069
542,0,0,0.0069
543,0,0,0.007
544,0,0,0.007
545,0,0,0.0071
546,0,0,0.0072
547,0,0,0.0072
548,0,0,0.0073
549,0,0,0.0074
550,0,0,0.0074
551,0,0,0.0075
552,0,0,0.0076
553,0,0,0.0076
554,0,0,0.0077
555,0,0,0.0078
556,0,0,0.0078
557,0,0,0.0079
558,0,0,0.008
559,0,0,0.008
560,0,0,0.0081
561,0,0,0.0082
562,0,0,0.0082
563,0,0,0.0083
564,0,0,0.0084
565,0,0,0.0084
566,0,0,0.0085
567,0,0,0.0086
568,0,0,0.0086
569,0,0,0.0087
570,0,0,0.0087
571,0,0,0.0088
572,0,0,0.0089
573,0,0,0.0089
574,0,0,0.009
575,0,0,0.0091
576,0,0,0.0091
577,0,0,0.0092
578,0,0,0.0093
579,0,0,0.0093
580,0,0,0.0094
581,0,0,0.0095
582,0,0,0.0095
583,0,0,0.0096
584,0,0,0.0097
585,0,0,0.0097
586,0,0,0.0098
587,0,0,0.0099
588,0,0,0.0099
589,0,0,0.01
590,0,0,0.0101
591,0,0,0.0101
592,0,0,0.0102
593,0,0,0.0103
594,0,0,0.0103
595,0,0,0.0104
596,0,0,0.0105
597,0,0,0.0105
598,0,0,0.0106
599,0,0,0.0107
600,0,0,0.0107
601,0,0,0.0108
602,0,0,0.0109
603,0,0,0.0109
604,0,0,0.011
605,0,0,0.0111
606,0,0,0.0111
607,0,0,0.0112
608,0,0,0.0113
609,0,0,0.0113
610,0,0,0.0114
611,0,0,0.0115
612,0,0,0.0115
613,0,0,0.0116
614,0,0,0.0117
615,0,0,0.0117
616,0,0,0.0118
617,0,0,0.0119
618,0,0,0.0119
619,0,0,0.012
620,0,0,0.0121
621,0,0,0.0121
622,0,0,0.0122
623,0,0,0.0123
624,0,0,0.0123
625,0,0,0.0124
626,0,0,0.0125
627,0,0,0.0125
628,0,0,0.0126
629,0,0,0.0127
630,0,0,0.0128
631,0,0,0.0128
632,0,0,0.0129
633,0,0,0.013
634,0,0,0.013
635,0,0,0.0131
636,0,0,0.0132
637,0,0,0.0132
638,0,0,0.0133
639,0,0,0.0134
640,0,0,0.0134
641,0,0,0.0135
642,0,0,0.0136
643,0,0,0.0136
644,0,0,0.0137
645,0,0,0.0138
646,0,0,0.0138
647,0,0,0.0139
648,0,0,0.014
649,0,0,0.014
650,0,0,0.0141
651,0,0,0.0142
652,0,0,0.0142
653,0,0,0.0143
654,0,0,0.0144
655,0,0,0.0144
656,0,0,0.0145
657,0,0,0.0146
658,0,0,0.0146
659,0,0,0.0147
660,0,0,0.0148
661,0,0,0.0148
662,0,0,0.0149
663,0,0,0.015
664,0,0,0.015
665,0,0,0.0151
666,0,0,0.0152
667,0,0,0.0152
668,0,0,0.0153
669,0,0,0.0154
670,0,0,0.0154
671,0,0,0.0155
672,0,0,0.0156
673,0,0,0.0156
674,0,0,0.0157
675,0,0,0.0158
676,0,0,0.0159
677,0,0,0.0159
678,0,0,0.016
679,0,0,0.0161
680,0,0,0.0161
681,0,0,0.0162
682,0,0,0.0163
683,0,0,0.0163
684,0,0,0.0164
685,0,0,0.0165
686,0,0,0.0165
687,0,0,0.0166
688,0,0,0.0167
689,0,0,0.0167
690,0,0,0.0168
691,0,0,0.0169
692,0,0,0.0169
693,0,0,0.017
694,0,0,0.0171
695,0,0,0.0171
696,0,0,0.0172
697,0,0,0.0173
698,0,0,0.0173
699,0,0,0.0174
700,0,0,0.0175
701,0,0,0.0175
702,0,0,0.0176
703,0,0,0.0177
704,0,0,0.0177
705,0,0,0.0178
706,0,0,0.0179
707,0,0,0.0179
708,0,0,0.018
709,0,0,0.0181
710,0,0,0.0181
711,0,0,0.0182
712,0,0,0.0183
713,0,0,0.0184
714,0,0,0.0184
715,0,0,0.0185
716,0,0,0.0186
717,0,0,0.0186
718,0,0,0.0187
719,0,0,0.0188
720,0,0,0.0188
721,0,0,0.0189
722,0,0,0.019
723,0,0,0.019
724,0,0,0.0191
725,0,0,0.0192
726,0,0,0.0192
727,0,0,0.0193
728,0,0,0.0194
729,0,0,0.0194
730,0,0,0.0195
731,0,0,0.0196
732,0,0,0.0196
733,0,0,0.0197
734,0,0,0.0198
735,0,0,0.0198
736,0,0,0.0199
737,0,0,0.02
738,0,0,0.02
739,0,0,0.0201
740,0,0,0.0202
741,0,0,0.0202
742,0,0,0.0203
743,0,0,0.0204
744,0,0,0.0205
745,0,0,0.0205
746,0,0,0.0206
747,0,0,0.0207
748,0,0,0.0207
749,0,0,0.0208
750,0,0,0.0209
751,0,0,0.0209
752,0,0,0.021
753,0,0,0.0211
754,0,0,0.0211
755,0,0,0.0212
756,0,0,0.0213
757,0,0,0.0213
758,0,0,0.0214
759,0,0,0.0215
760,0,0,0.0215
761,0,0,0.0216
762,0,0,0.0217
763,0,0,0.0217
764,0,0,0.0218
765,0,0,0.0219
766,0,0,0.0219
767,0,0,0.022
768,0,0,0.0221
769,0,0,0.0221
770,0,0,0.0222
771,0,0,0.0223
772,0,0,0.0224
773,0,0,0.0224
774,0,0,0.0225
775,0,0,0.0226
776,0,0,0.0226
777,0,0,0.0227
778,0,0,0.0228
779,0,0,0.0228
780,0,0,0.0229
781,0,0,0.023
782,0,0,0.023
783,0,0,0.0231
784,0,0,0.0232
785,0,0,0.0232
786,0,0,0.0233
787,0,0,0.0234
788,0,0,0.0234
789,0,0,0.0235
790,0,0,0.0236
791,0,0,0.0236
792,0,0,0.0237
793,0,0,0.0238
794,0,0,0.0238
795,0,0,0.0239
796,0,0,0.024
797,0,0,0.024
798,0,0,0.0241
799,0,0,0.0242
800,0,0,0.0243
801,0,0,0.0243
802,0,0,0.0244
803,0,0,0.0245
804,0,0,0.0245
805,0,0,0.0246
806,0,0,0.0247
807,0,0,0.0247
808,0,0,0.0248
809,0,0,0.0249
810,0,0,0.0249
811,0,0,0.025
812,0,0,0.0251
813,0,0,0.0251
814,0,0,0.0252
815,0,0,0.0253
816,0,0,0.0253
817,0,0,0.0254
818,0,0,0.0255
819,0,0,0.0255
820,0,0,0.0256
821,0,0,0.0257
822,0,0,0.0257
823,0,0,0.0258
824,0,0,0.0259
825,0,0,0.026
826,0,0,0.026
827,0,0,0.0261
828,0,0,0.0262
829,0,0,0.0262
830,0,0,0.0263
831,0,0,0.0264
832,0,0,0.0264
833,0,0,0.0265
834,0,0,0.0266
835,0,0,0.0266
836,0,0,0.0267
837,0,0,0.0268
838,0,0,0.0268
839,0,0,0.0269
840,0,0,0.027
841,0,0,0.027
842,0,0,0.0271
843,0,0,0.0272
844,0,0,0.0272
845,0,0,0.0273
846,0,0,0.0274
847,0,0,0.0274
848,0,0,0.0275
849,0,0,0.0276
850,0,0,0.0277
851,0,0,0.0277
852,0,0,0.0278
853,0,0,0.0279
854,0,0,0.0279
855,0,0,0.028
856,0,0,0.0281
857,0,0,0.0281
858,0,0,0.0282
859,0,0,0.0283
860,0,0,0.0283
861,0,0,0.0284
862,0,0,0.0285
863,0,0,0.0285
864,0,0,0.0286
865,0,0,0.0287
866,0,0,0.0287
867,0,0,0.0288
868,0,0,0.0289
869,0,0,0.0289
870,0,0,0.029
871,0,0,0.0291
872,0,0,0.0291
873,0,0,0.0292
874,0,0,0.0293
875,0,0,0.0293
876,0,0,0.0294
877,0,0,0.0295
878,0,0,0.0296
879,0,0,0.0296
880,0,0,0.0297
881,0,0,0.0298
882,0,0,0.0298
883,0,0,0.0299
884,0,0,0.03
885,0,0,0.03
886,0,0,0.0301
887,0,0,0.0302
888,0,0,0.0302
889,0,0,0.0303
890,0,0,0.0304
891,0,0,0.0304
892,0,0,0.0305
893,0,0,0.0306
894,0,0,0.0306
895,0,0,0.0307
896,0,0,0.0308
897,0,0,0.0308
898,0,0,0.0309
899,0,0,0.031
900,0,0,0.031
901,0,0,0.0311
902,0,0,0.0312
903,0,0,0.0313
904,0,0,0.0313
905,0,0,0.0314
906,0,0,0.0315
907,0,0,0.0315
908,0,0,0.0316
909,0,0,0.0317
910,0,0,0.0317
911,0,0,0.0318
912,0,0,0.0319
913,0,0,0.0319
914,0,0,0.032
915,0,0,0.0321
916,0,0,0.0321
917,0,0,0.0322
918,0,0,0.0323
919,0,0,0.0323
920,0,0,0.0324
921,0,0,0.0325
922,0,0,0.0325
923,0,0,0.0326
924,0,0,0.0327
925,0,0,0.0328
926,0,0,0.0328
927,0,0,0.0329
928,0,0,0.033
929,0,0,0.033
930,0,0,0.0331
931,0,0,0.0332
932,0,0,0.0332
933,0,0,0.0333
934,0,0,0.0334
935,0,0,0.0334
936,0,0,0.0335
937,0,0,0.0336
938,0,0,0.0336
939,0,0,0.0337
940,0,0,0.0338
941,0,0,0.0338
942,0,0,0.0339
943,0,0,0.034
944,0,0,0.034
945,0,0,0.0341
946,0,0,0.0342
947,0,0,0.0342
948,0,0,0.0343
949,0,0,0.0344
950,0,0,0.0345
951,0,0,0.0345
952,0,0,0.0346
953,0,0,0.0347
954,0,0,0.0347
955,0,0,0.0348
956,0,0,0.0349
957,0,0,0.0349
958,0,0,0.035
959,0,0,0.0351
960,0,0,0.0351
961,0,0,0.0352
962,0,0,0.0353
963,0,0,0.0353
964,0,0,0.0354
965,0,0,0.0355
966,0,0,0.0355
967,0,0,0.0356
968,0,0,0.0357
969,0,0,0.0357
970,0,0,0.0358
971,0,0,0.0359
972,0,0,0.0359
973,0,0,0.036
974,0,0,0.0361
975,0,0,0.0362
976,0,0,0.0362
977,0,0,0.0363
978,0,0,0.0364
979,0,0,0.0364
980,0,0,0.0365
981,0,0,0.0366
982,0,0,0.0366
983,0,0,0.0367
984,0,0,0.0368
985,0,0,0.0368
986,0,0,0.0369
987,0,0,0.037
988,0,0,0.037
989,0,0,0.0371
990,0,0,0.0372
991,0,0,0.0372
992,0,0,0.0373
993,0,0,0.0374
994,0,0,0.0374
995,0,0,0.0375
996,0,0,0.0376
997,0,0,0.0376
998,0,0,0.0377
999,0,0,0.0378
1000,0,0,0.0379
1001,0,0,0.0379
1002,0,0,0.038
1003,0,0,0.0381
1004,0,0,0.0381
1005,0,0,0.0382
1006,0,0,0.0383
1007,0,0,0.0383
1008,0,0,0.0384
1009,0,0,0.0385
1010,0,0,0.0385
1011,0,0,0.0386
1012,0,0,0.0387
1013,0,0,0.0387
1014,0,0,0.0388
1015,0,0,0.0389
1016,0,0,0.0389
1017,0,0,0.039
1018,0,0,0.0391
1019,0,0,0.0391
1020,0,0,0.0392
1021,0,0,0.0393
1022,0,0,0.0394
1023,0,0,0.0394
1024,0,0,0.0395
1025,0,0,0.0396
1026,0,0,0.0396
1027,0,0,0.0397
1028,0,0,0.0398
1029,0,0,0.0398
1030,0,0,0.0399
1031,0,0,0.04
1032,0,0,0.04
1033,0,0,0.0401
1034,0,0,0.0402
1035,0,0,0.0402
1036,0,0,0.0403
1037,0,0,0.0404
1038,0,0,0.0404
1039,0,0,0.0405
1040,0,0,0.0406
1041,0,0,0.0406
1042,0,0,0.0407
1043,0,0,0.0408
1044,0,0,0.0408
1045,0,0,0.0409
1046,0,0,0.041
1047,0,0,0.0411
1048,0,0,0.0411
1049,0,0,0.0412
1050,0,0,0.0413
1051,0,0,0.0413
1052,0,0,0.0414
1053,0,0,0.0415
1054,0,0,0.0415
1055,0,0,0.0416
1056,0,0,0.0417
1057,0,0,0.0417
1058,0,0,0.0418
1059,0,0,0.0419
1060,0,0,0.0419
1061,0,0,0.042
1062,0,0,0.0421
1063,0,0,0.0421
1064,0,0,0.0422
1065,0,0,0.0423
1066,0,0,0.0423
1067,0,0,0.0424
1068,0,0,0.0425
1069,0,0,0.0426
1070,0,0,0.0426
1071,0,0,0.0427
1072,0,0,0.0428
1073,0,0,0.0428
1074,0,0,0.0429
1075,0,0,0.043
1076,0,0,0.043
1077,0,0,0.0431
1078,0,0,0.0432
1079,0,0,0.0432
1080,0,0,0.0433
1081,0,0,0.0434
1082,0,0,0.0434
1083,0,0,0.0435
1084,0,0,0.0436
1085,0,0,0.0436
1086,0,0,0.0437
1087,0,0,0.0438
1088,0,0,0.0438
1089,0,0,0.0439
1090,0,0,0.044
1091,0,0,0.044
1092,0,0,0.0441
1093,0,0,0.0442
1094,0,0,0.0443
1095,0,0,0.0443
1096,0,0,0.0444
1097,0,0,0.0445
1098,0,0,0.0445
1099,0,0,0.0446
1100,0,0,0.0447
1101,0,0,0.0447
1102,0,0,0.0448
1103,0,0,0.0449
1104,0,0,0.0449
1105,0,0,0.045
1106,0,0,0.0451
1107,0,0,0.0451
1108,0,0,0.0452
1109,0,0,0.0453
1110,0,0,0.0453
1111,0,0,0.0454
1112,0,0,0.0455
1113,0,0,0.0455
1114,0,0,0.0456
1115,0,0,0.0457
1116,0,0,0.0458
1117,0,0,0.0458
1118,0,0,0.0459
1119,0,0,0.046
1120,0,0,0.046
1121,0,0,0.0461
1122,0,0,0.0462
1123,0,0,0.0462
1124,0,0,0.0463
1125,0,0,0.0464
1126,0,0,0.0464
1127,0,0,0.0465
1128,0,0,0.0466
1129,0,0,0.0466
1130,0,0,0.0467
1131,0,0,0.0468
1132,0,0,0.0468
1133,0,0,0.0469
1134,0,0,0.047
1135,0,0,0.047
1136,0,0,0.0471
1137,0,0,0.0472
1138,0,0,0.0473
1139,0,0,0.0473
1140,0,0,0.0474
1141,0,0,0.0475
1142,0,0,0.0475
1143,0,0,0.0476
1144,-0.54566294,0,0.0477
1145,-0.5456387,0,0.0477
1146,-0.5455216,0,0.0478
1147,-0.54523724,0,0.0479
1148,-0.54471064,0,0.0479
1149,-0.54386675,0,0.048
1150,-0.54262507,0,0.048
1151,-0.5408516,0,0.048
1152,-0.5383789,0,0.048
1153,-0.53504425,0,0.048
1154,-0.5306908,0,0.048
1155,-0.52517104,0,0.0479
1156,-0.5183478,0,0.0478
1157,-0.51009345,0,0.0476
1158,-0.50029665,0,0.0474
1159,-0.48886177,0,0.0472
1160,-0.4757106,0,0.0469
1161,-0.46078685,0,0.0466
1162,-0.4440514,0,0.0462
1163,-0.42549023,0,0.0458
1164,-0.40511194,0,0.0452
1165,-0.382954,0,0.0447
1166,-0.3591224,0,0.044
1167,-0.3338446,0,0.0434
1168,-0.30738682,0,0.0426
1169,-0.27999684,0,0.0419
1170,-0.2519268,0,0.0411
1171,-0.22341584,0,0.0403
1172,-0.19466896,0,0.0394
1173,-0.16587436,0,0.0386
1174,-0.13718247,0,0.0377
1175,-0.10873506,0,0.0368
1176,-0.080658294,0,0.0359
1177,-0.05308618,0,0.035
1178,-0.026117561,0,0.0341
1179,0.00015089908,0.30183792,0.0332
1180,0.025608538,51.21708,0.0272
