sample,simulationStep,simulationStepsTime,timeSteps,particles,solver,fViscosity,stiffness,iterations,timeStep,densityError,cfl,boundary,bViscosity,gamma1,gamma2,gamma3
0,32092,13.3121,806,1470,IISPH,10,2500,44,0.03,0.0029334433,0.005751705,Extrapolation,10,1,1,1
1,32126,6.6404,807,1470,IISPH,10,2500,19,0.03,0.002913657,0.0043001506,Extrapolation,10,1,1,1
2,32159,29.2991,808,1470,IISPH,10,2500,105,0.03,0.0029499617,0.0048345504,Extrapolation,10,1,1,1
3,32192,8.4347,809,1470,IISPH,10,2500,24,0.03,0.0029323925,0.0055707553,Extrapolation,10,1,1,1
4,32225,11.5994,810,1470,IISPH,10,2500,37,0.03,0.0029161447,0.005091782,Extrapolation,10,1,1,1
5,32259,18.2036,811,1470,IISPH,10,2500,63,0.03,0.002964551,0.006043999,Extrapolation,10,1,1,1
6,32292,8.5141,812,1470,IISPH,10,2500,28,0.03,0.002926317,0.004932331,Extrapolation,10,1,1,1
7,32325,8.4067,813,1470,IISPH,10,2500,23,0.03,0.0029075982,0.004531665,Extrapolation,10,1,1,1
8,32359,12.9617,814,1470,IISPH,10,2500,44,0.03,0.0029361197,0.004631234,Extrapolation,10,1,1,1
9,32392,15.2343,815,1470,IISPH,10,2500,51,0.03,0.0029188048,0.003646187,Extrapolation,10,1,1,1
10,32425,8.5475,816,1470,IISPH,10,2500,29,0.03,0.0029148639,0.0051200283,Extrapolation,10,1,1,1
11,32459,17.6082,817,1470,IISPH,10,2500,60,0.03,0.002910718,0.0033406643,Extrapolation,10,1,1,1
12,32492,10.8926,818,1470,IISPH,10,2500,29,0.03,0.0029221217,0.0038411096,Extrapolation,10,1,1,1
13,32525,10.6309,819,1470,IISPH,10,2500,33,0.03,0.0029017855,0.0027806207,Extrapolation,10,1,1,1
14,32558,19.0224,820,1470,IISPH,10,2500,67,0.03,0.002928862,0.0041149464,Extrapolation,10,1,1,1
15,32592,7.8174,821,1470,IISPH,10,2500,23,0.03,0.0029047248,0.003486545,Extrapolation,10,1,1,1
16,32625,25.1249,822,1470,IISPH,10,2500,90,0.03,0.0029258735,0.005376829,Extrapolation,10,1,1,1
17,32658,7.9213,823,1470,IISPH,10,2500,25,0.03,0.0029176637,0.0036621029,Extrapolation,10,1,1,1
18,32692,11.4764,824,1470,IISPH,10,2500,41,0.03,0.0029026968,0.0044057835,Extrapolation,10,1,1,1
