sample,relativeDensityError,localPressure,pressureAcceleration.X,pressureAcceleration.Y,viscosityAcceleration.X,viscosityAcceleration.Y,averageVelocity.X,averageVelocity.Y,CFL
0,-0.0571534,0,-0,-0,0,0,0,0.030000001,0.0003
1,-0.0571534,0,-0,-0,0,0,0,0.060000002,0.0005
2,-0.0571534,0,-0,-0,0,0,0,0.09,0.0008
3,-0.0571534,0,-0,-0,0,0,0,0.120000005,0.0011
4,-0.0571534,0,-0,-0,0,0,0,0.15,0.0014
5,-0.0571534,0,-0,-0,0,0,0,0.18,0.0016
6,-0.0571534,0,-0,-0,0,0,0,0.21000001,0.0019
7,-0.0571534,0,-0,-0,0,0,0,0.24000001,0.0022
8,-0.0571534,0,-0,-0,0,0,0,0.27,0.0025
9,-0.0571534,0,-0,-0,0,0,0,0.3,0.0027
10,-0.0571534,0,-0,-0,0,0,0,0.33,0.003
11,-0.0571534,0,-0,-0,0,0,0,0.36,0.0033
12,-0.0571534,0,-0,-0,0,0,0,0.39000002,0.0035
13,-0.0571534,0,-0,-0,0,0,0,0.42000002,0.0038
14,-0.0571534,0,-0,-0,0,0,0,0.45000002,0.0041
15,-0.0571534,0,-0,-0,0,0,0,0.48000002,0.0044
16,-0.0571534,0,-0,-0,0,0,0,0.51,0.0046
17,-0.0571534,0,-0,-0,0,0,0,0.53999996,0.0049
18,-0.0571534,0,-0,-0,0,0,0,0.56999993,0.0052
19,-0.0571534,0,-0,-0,4.092466E-11,-3.2138558E-10,4.0924656E-11,0.5999999,0.0055
20,-0.0571534,0,-0,-0,3.2279484E-09,-2.5279121E-08,3.2688732E-09,0.6299999,0.0057
21,-0.0571534,0,-0,-0,1.26787585E-08,-9.9178E-08,1.5947633E-08,0.6599997,0.006
22,-0.0571534,0,-0,-0,3.0246913E-08,-2.3644917E-07,4.6194543E-08,0.68999946,0.0063
23,-0.057153303,0,-0,-0,5.8049295E-08,-4.532656E-07,1.0424384E-07,0.719999,0.0065
24,-0.057153102,0,-0,-0,9.85243E-08,-7.681501E-07,2.0276813E-07,0.7499982,0.0068
25,-0.057152905,0,-0,-0,1.5437315E-07,-1.2013942E-06,3.571413E-07,0.779997,0.0071
26,-0.057152506,0,-0,-0,2.2864492E-07,-1.77566E-06,5.857862E-07,0.8099952,0.0074
27,-0.05715201,0,-0,-0,3.247636E-07,-2.5161064E-06,9.1054983E-07,0.83999264,0.0076
28,-0.057151314,0,-0,-0,4.465378E-07,-3.450425E-06,1.3570876E-06,0.86998916,0.0079
29,-0.057150323,0,-0,-0,5.9821326E-07,-4.60907E-06,1.9553008E-06,0.89998454,0.0082
30,-0.057148535,0.00030590483,-3.8484404E-13,2.1046157E-13,7.844996E-07,-6.025412E-06,2.7398E-06,0.9299785,0.0085
31,-0.05714645,0.0006251099,-6.8550347E-13,1.5634289E-13,1.0106675E-06,-7.6881615E-06,3.750467E-06,0.95997083,0.0087
32,-0.057144262,0.0006354545,-7.696881E-13,3.3673853E-13,1.282631E-06,-9.639174E-06,5.0330973E-06,0.98996115,0.009
33,-0.05714168,0.0006472769,-4.088968E-13,3.9687044E-13,1.6068651E-06,-1.1972107E-05,6.639962E-06,1.0199492,0.0093
34,-0.0571385,0.00061033183,-6.3739796E-13,2.4052751E-13,1.9900908E-06,-1.4733552E-05,8.630052E-06,1.0499344,0.0095
35,-0.057134625,0.000527575,-2.8863302E-13,1.0823739E-13,2.439702E-06,-1.7982504E-05,1.1069754E-05,1.0799165,0.0098
36,-0.057129957,0.00044481814,-3.9687044E-13,1.4431651E-13,2.9629516E-06,-2.1782052E-05,1.4032705E-05,1.1098946,0.0101
37,-0.057123896,0.0009132811,-8.2380673E-13,5.036045E-14,3.520956E-06,-2.6311167E-05,1.7553659E-05,1.1398683,0.0104
38,-0.057116743,0.0012280528,-1.5594762E-13,-4.0960527E-13,4.0850155E-06,-3.1725805E-05,2.1638674E-05,1.1698365,0.0106
39,-0.0571081,0.0015354353,-2.688641E-13,-4.776198E-14,4.6460254E-06,-3.8123904E-05,2.62847E-05,1.1997985,0.0109
40,-0.05709777,0.0018782852,0,4.651273E-13,5.2009977E-06,-4.55972E-05,3.14857E-05,1.2297529,0.0112
41,-0.05708555,0.0023157143,1.340941E-12,-4.349762E-13,5.75129E-06,-5.42495E-05,3.7236987E-05,1.2596986,0.0115
42,-0.057071146,0.0028595452,4.8706823E-13,4.9416488E-14,6.2864915E-06,-6.4150925E-05,4.352348E-05,1.2896345,0.0117
43,-0.05705396,0.003930951,-8.7792545E-13,1.864936E-12,6.79759E-06,-7.543399E-05,5.032107E-05,1.319559,0.012
44,-0.057033796,0.005334862,-8.1178044E-13,9.35136E-13,7.277443E-06,-8.8297274E-05,5.7598514E-05,1.3494707,0.0123
45,-0.05701055,0.0063427226,-1.7438246E-12,-1.2825532E-12,7.710669E-06,-0.00010290297,6.530918E-05,1.3793678,0.0125
46,-0.056983925,0.0070683225,-3.472616E-13,-8.978383E-14,8.101815E-06,-0.00011935473,7.341099E-05,1.4092485,0.0128
47,-0.05695333,0.0079550035,1.8219961E-12,8.3670224E-13,8.436788E-06,-0.00013790767,8.1847786E-05,1.4391105,0.0131
48,-0.05691826,0.009017542,2.3090642E-12,1.3287546E-12,8.7108765E-06,-0.00015873287,9.0558664E-05,1.4689518,0.0134
49,-0.056878027,0.01046431,-7.1887665E-12,-3.0086963E-13,8.910148E-06,-0.00018198209,9.946881E-05,1.4987698,0.0136
50,-0.056832332,0.011794331,-8.226041E-12,8.909002E-13,9.0195435E-06,-0.00020784524,0.00010848834,1.528562,0.0139
51,-0.056780376,0.013526314,2.5495918E-12,8.226015E-13,9.031412E-06,-0.00023651063,0.00011751976,1.5583254,0.0142
52,-0.056721766,0.015240563,-1.7197718E-12,4.3386297E-12,8.936736E-06,-0.00026817815,0.0001264565,1.5880573,0.0145
53,-0.056655902,0.017309485,6.169531E-12,1.4355225E-12,8.716258E-06,-0.00030306526,0.00013517277,1.6177542,0.0147
54,-0.056581892,0.019660667,-7.850217E-12,-3.5837763E-12,8.3500645E-06,-0.0003414236,0.00014352283,1.6474128,0.015
55,-0.05649934,0.02224534,-8.000547E-12,2.5931616E-12,7.844305E-06,-0.00038350097,0.00015136713,1.6770293,0.0153
56,-0.05640725,0.025098974,-3.728177E-12,-3.9294335E-13,7.182899E-06,-0.00042952152,0.00015855003,1.7065997,0.0155
57,-0.056304533,0.028227478,-3.7221636E-12,5.3656875E-12,6.345373E-06,-0.00047973506,0.0001648954,1.73612,0.0158
58,-0.056190785,0.03168701,4.028836E-13,3.1550923E-13,5.323454E-06,-0.00053439086,0.00017021885,1.7655857,0.0161
59,-0.05606472,0.03572732,-2.9825413E-12,-8.038177E-12,4.111031E-06,-0.0005937671,0.00017432986,1.7949919,0.0164
60,-0.055925645,0.040092744,2.1996243E-11,1.1679964E-11,2.9274179E-06,-0.00065838796,0.00017725732,1.8243335,0.0166
61,-0.05577236,0.04485422,1.7510405E-11,-1.0585308E-11,1.8541028E-06,-0.0007286372,0.00017911143,1.8536048,0.0169
62,-0.055603977,0.050165437,3.1268578E-13,2.583093E-12,9.2581706E-07,-0.00080481044,0.00018003724,1.8828001,0.0172
63,-0.055419106,0.056042653,-5.339711E-12,4.00056E-12,1.8078775E-07,-0.0008871914,0.000180218,1.9119128,0.0175
64,-0.05521675,0.062283404,-1.2435274E-11,1.2902986E-11,-3.5555362E-07,-0.0009760503,0.00017986241,1.9409368,0.0177
65,-0.054995615,0.06901479,-5.2916057E-12,9.606256E-12,-6.489035E-07,-0.0010716136,0.00017921353,1.9698652,0.018
66,-0.054754313,0.0763299,3.372196E-11,2.514651E-11,-6.571192E-07,-0.0011741394,0.00017855644,1.9986911,0.0183
67,-0.054491755,0.08386964,-3.2350951E-12,-9.504126E-12,-3.5512662E-07,-0.0012838871,0.00017820128,2.0274072,0.0185
68,-0.05420645,0.09210543,4.221258E-11,-3.066491E-14,2.993166E-07,-0.0014010954,0.00017850065,2.0560062,0.0188
69,-0.053896803,0.10103135,3.1340736E-11,6.3536966E-12,1.344203E-06,-0.0015259288,0.00017984491,2.08448,0.0191
70,-0.053561624,0.1104213,2.8815198E-11,2.0303907E-13,2.8158502E-06,-0.0016585656,0.00018266073,2.1128216,0.0194
71,-0.05319933,0.12053093,-1.8857358E-11,-3.6933074E-12,4.7781064E-06,-0.0017991327,0.00018743878,2.1410224,0.0196
72,-0.05280862,0.13135582,5.469596E-11,6.635906E-12,7.29414E-06,-0.0019477829,0.00019473297,2.1690748,0.0199
73,-0.05238791,0.14292553,3.6500053E-11,3.6209306E-11,1.0418572E-05,-0.0021046128,0.00020515153,2.19697,0.0202
74,-0.051936008,0.15507749,3.1749634E-11,1.0784606E-11,1.4216025E-05,-0.0022696687,0.00021936759,2.2247005,0.0204
75,-0.051451124,0.16805111,1.5995081E-12,-2.364348E-11,1.8753912E-05,-0.0024429548,0.00023812152,2.2522573,0.0207
76,-0.05093177,0.18176806,-2.4353412E-11,-2.714635E-11,2.4125231E-05,-0.0026244777,0.00026224685,2.279633,0.021
77,-0.05037675,0.1961722,1.712556E-11,-4.201607E-11,3.0429092E-05,-0.002814165,0.00029267598,2.3068187,0.0213
78,-0.049784977,0.21125905,6.244095E-11,1.0343812E-11,3.7762133E-05,-0.0030119088,0.00033043817,2.333807,0.0215
79,-0.049154658,0.226974,7.6151016E-11,5.5891177E-11,4.6252833E-05,-0.003217556,0.00037669114,2.3605893,0.0218
80,-0.048484303,0.24352832,-7.374574E-11,4.5057194E-11,5.6017343E-05,-0.003430891,0.00043270842,2.3871584,0.0221
81,-0.04777312,0.26064274,3.4828387E-11,-5.2718187E-11,6.719381E-05,-0.0036516734,0.00049990223,2.4135067,0.0223
82,-0.04701922,0.27866158,-1.739014E-11,-1.1338242E-11,7.994228E-05,-0.0038796,0.00057984464,2.4396272,0.0226
83,-0.046221614,0.2974784,3.9446515E-12,3.348068E-11,9.442322E-05,-0.0041143326,0.00067426794,2.4655128,0.0229
84,-0.0453794,0.31711692,-1.1545321E-12,-8.271911E-11,0.000110834946,-0.004355552,0.0007851028,2.4911573,0.0232
85,-0.04449119,0.33754307,-8.5339166E-11,-7.9419187E-11,0.00012937497,-0.004602879,0.00091447774,2.5165544,0.0234
86,-0.043556392,0.35863572,1.529274E-10,-1.1543067E-11,0.0001502619,-0.0048559136,0.0010647398,2.5416985,0.0237
87,-0.04257371,0.38040817,1.09536234E-10,4.1268888E-11,0.0001737467,-0.0051142,0.0012384866,2.5665843,0.024
88,-0.041542947,1.2508596,0.0002784899,-0.0255134,0.00020010544,-0.0053772964,0.0017170818,2.5656936,0.0242
89,-0.04042059,2.6037421,0.0008100642,-0.06257542,0.00021113288,-0.005299927,0.002738279,2.5278182,0.0245
90,-0.039164126,4.156772,0.0013836063,-0.09459457,0.000188577,-0.0046774,0.0043104636,2.4585462,0.0248
91,-0.03775716,5.9029274,0.001841685,-0.11756163,0.00013038835,-0.0036024593,0.006282537,2.3673823,0.025
92,-0.036219656,7.8243923,0.0020961866,-0.12969747,4.9063743E-05,-0.0023270424,0.008427787,2.2653577,0.0259
93,-0.03461202,9.829515,0.0021377706,-0.13169198,-3.6612495E-05,-0.0011560619,0.010528944,2.1625097,0.0296
94,-0.0330319,11.781737,0.0020124572,-0.126009,-0.00011221272,-0.00032396842,0.012429188,2.0661767,0.0335
95,-0.03159364,13.51808,0.0017896543,-0.11570915,-0.00017361747,7.687646E-05,0.014045228,1.9805443,0.0371
96,-0.030399064,14.904134,0.0015346516,-0.103373185,-0.00022603075,9.218951E-05,0.015353848,1.9072634,0.0403
97,-0.029518107,15.846477,0.0012860704,-0.09056223,-0.00027808896,-0.00014733302,0.016361827,1.8465538,0.0426
98,-0.028984843,16.296429,0.001057531,-0.07790108,-0.00033560954,-0.0004922964,0.017083745,1.7981604,0.0442
99,-0.028804341,16.244642,0.00084844214,-0.065462075,-0.00039571663,-0.0008178359,0.017536476,1.7618805,0.0465
100,-0.028963981,15.70206,0.0006543586,-0.053174566,-0.00045361384,-0.001054481,0.017737225,1.7376515,0.0488
101,-0.029443005,14.686876,0.00047352441,-0.0410502,-0.00050112786,-0.0011856857,0.017709626,1.7254156,0.0502
102,-0.030222038,13.240944,0.00030781006,-0.029265383,-0.00052879367,-0.0012323353,0.01748864,1.7249179,0.051
103,-0.031289656,11.5740185,0.000117169366,-0.02762243,-0.0005300187,-0.0012449984,0.017075788,1.7260505,0.0508
104,-0.0326398,9.68915,2.5929098E-06,-0.028407356,-0.00047316912,-0.000944836,0.016605208,1.7266983,0.0498
105,-0.03426502,7.6893597,2.3960025E-05,-0.028878504,-0.00034009456,-0.00037587856,0.016289068,1.7274439,0.0487
106,-0.036135513,5.4972825,0.00016405103,-0.029875124,-0.00015280284,0.0003302889,0.016300313,1.7278991,0.0477
107,-0.038196046,3.689694,0.00034254687,-0.027975742,3.8910766E-05,0.0010201279,0.016681772,1.7309434,0.0485
108,-0.04039029,2.0693486,0.00047865097,-0.023236727,0.00019227898,0.0014681335,0.017352704,1.7391748,0.0506
109,-0.042640567,1.0755097,0.0005019052,-0.016856685,0.00029300715,0.0016011231,0.018147616,1.7539194,0.0509
