sample,fps,frameDuration,particleCount
0,955.84015,1,1224
1,955.84015,1,1224
2,432.99414,2,1224
3,432.99414,2,1224
4,432.99414,2,1224
5,432.99414,2,1224
6,432.99414,2,1224
7,432.99414,2,1224
8,432.99414,2,1224
9,432.99414,2,1224
10,432.99414,2,1224
11,432.99414,2,1224
12,432.99414,2,1224
13,432.99414,2,1224
14,432.99414,2,1224
15,432.99414,2,1224
16,432.99414,2,1224
17,432.99414,2,1224
18,432.99414,2,1224
19,432.99414,2,1224
20,432.99414,2,1224
21,432.99414,2,1224
22,432.99414,2,1224
23,432.99414,2,1224
24,432.99414,2,1224
25,432.99414,2,1224
26,432.99414,2,1224
27,432.99414,2,1224
28,432.99414,2,1224
29,432.99414,2,1224
30,432.99414,2,1224
31,432.99414,2,1224
32,432.99414,2,1224
33,432.99414,2,1224
34,432.99414,2,1224
35,432.99414,2,1224
36,432.99414,2,1224
37,432.99414,2,1224
38,432.99414,2,1224
39,432.99414,2,1224
40,432.99414,2,1224
41,432.99414,2,1224
42,432.99414,2,1224
43,432.99414,2,1224
44,432.99414,2,1224
45,432.99414,2,1224
46,432.99414,2,1224
47,432.99414,2,1224
48,432.99414,2,1224
49,432.99414,2,1224
50,432.99414,2,1224
51,432.99414,2,1224
52,432.99414,2,1224
53,432.99414,2,1224
54,432.99414,2,1224
55,432.99414,2,1224
56,432.99414,2,1224
57,432.99414,2,1224
58,432.99414,2,1224
59,432.99414,2,1224
60,432.99414,2,1224
61,432.99414,2,1224
62,432.99414,2,1224
63,432.99414,2,1224
64,432.99414,2,1224
65,432.99414,2,1224
66,432.99414,2,1224
67,432.99414,2,1224
68,432.99414,2,1224
69,432.99414,2,1224
70,432.99414,2,1224
71,432.99414,2,1224
72,432.99414,2,1224
73,432.99414,2,1224
74,432.99414,2,1224
75,432.99414,2,1224
76,432.99414,2,1224
77,432.99414,2,1224
78,432.99414,2,1224
79,432.99414,2,1224
80,432.99414,2,1224
81,432.99414,2,1224
82,432.99414,2,1224
83,432.99414,2,1224
84,432.99414,2,1224
85,432.99414,2,1224
86,432.99414,2,1224
87,432.99414,2,1224
88,432.99414,2,1224
89,432.99414,2,1224
90,432.99414,2,1224
91,432.99414,2,1224
92,432.99414,2,1224
93,432.99414,2,1224
94,432.99414,2,1224
95,432.99414,2,1224
96,432.99414,2,1224
97,432.99414,2,1224
98,432.99414,2,1224
99,432.99414,2,1224
100,432.99414,2,1224
101,432.99414,2,1224
102,432.99414,2,1224
103,432.99414,2,1224
104,432.99414,2,1224
105,432.99414,2,1224
106,432.99414,2,1224
107,432.99414,2,1224
108,432.99414,2,1224
109,432.99414,2,1224
110,432.99414,2,1224
111,432.99414,2,1224
112,432.99414,2,1224
113,432.99414,2,1224
114,432.99414,2,1224
115,432.99414,2,1224
116,432.99414,2,1224
117,432.99414,2,1224
118,432.99414,2,1224
119,432.99414,2,1224
120,432.99414,2,1224
121,432.99414,2,1224
122,432.99414,2,1224
123,432.99414,2,1224
124,432.99414,2,1224
125,432.99414,2,1224
126,432.99414,2,1224
127,432.99414,2,1224
128,432.99414,2,1224
129,432.99414,2,1224
130,432.99414,2,1224
131,432.99414,2,1224
132,432.99414,2,1224
133,432.99414,2,1224
134,432.99414,2,1224
135,432.99414,2,1224
136,432.99414,2,1224
137,432.99414,2,1224
138,432.99414,2,1224
139,432.99414,2,1224
140,432.99414,2,1224
141,432.99414,2,1224
142,432.99414,2,1224
143,432.99414,2,1224
144,432.99414,2,1224
145,432.99414,2,1224
146,432.99414,2,1224
147,432.99414,2,1224
148,432.99414,2,1224
149,432.99414,2,1224
150,432.99414,2,1224
151,432.99414,2,1224
152,432.99414,2,1224
153,432.99414,2,1224
154,432.99414,2,1224
155,432.99414,2,1224
156,432.99414,2,1224
157,432.99414,2,1224
158,432.99414,2,1224
159,432.99414,2,1224
160,432.99414,2,1224
161,432.99414,2,1224
162,432.99414,2,1224
163,432.99414,2,1224
164,432.99414,2,1224
165,432.99414,2,1224
166,432.99414,2,1224
167,432.99414,2,1224
168,432.99414,2,1224
169,432.99414,2,1224
170,432.99414,2,1224
171,432.99414,2,1224
172,432.99414,2,1224
173,432.99414,2,1224
174,432.99414,2,1224
175,432.99414,2,1224
176,432.99414,2,1224
177,432.99414,2,1224
178,432.99414,2,1224
179,432.99414,2,1224
180,432.99414,2,1224
181,432.99414,2,1224
182,432.99414,2,1224
183,432.99414,2,1224
184,432.99414,2,1224
185,432.99414,2,1224
186,432.99414,2,1224
187,432.99414,2,1224
188,432.99414,2,1224
189,432.99414,2,1224
190,432.99414,2,1224
191,432.99414,2,1224
192,432.99414,2,1224
193,432.99414,2,1224
194,432.99414,2,1224
