sample,relativeDensityError,localPressure,pressureAcceleration.X,pressureAcceleration.Y,viscosityAcceleration.X,viscosityAcceleration.Y,averageVelocity.X,averageVelocity.Y,CFL
0,-0.0571534,0,-0,-0,0,0,0,0.030000001,0.0003
1,-0.0571534,0,-0,-0,0,0,0,0.060000002,0.0005
2,-0.0571534,0,-0,-0,0,0,0,0.09,0.0008
3,-0.0571534,0,-0,-0,0,0,0,0.120000005,0.0011
4,-0.0571534,0,-0,-0,0,0,0,0.15,0.0014
5,-0.0571534,0,-0,-0,0,0,0,0.18,0.0016
6,-0.0571534,0,-0,-0,0,0,0,0.21000001,0.0019
7,-0.0571534,0,-0,-0,0,0,0,0.24000001,0.0022
8,-0.0571534,0,-0,-0,0,0,0,0.27,0.0025
9,-0.0571534,0,-0,-0,0,0,0,0.3,0.0027
10,-0.0571534,0,-0,-0,0,0,0,0.33,0.003
11,-0.0571534,0,-0,-0,0,0,0,0.36,0.0033
12,-0.0571534,0,-0,-0,0,0,0,0.39000002,0.0035
13,-0.0571534,0,-0,-0,0,0,0,0.42000002,0.0038
14,-0.0571534,0,-0,-0,0,0,0,0.45000002,0.0041
15,-0.0571534,0,-0,-0,0,0,0,0.48000002,0.0044
16,-0.0571534,0,-0,-0,0,0,0,0.51,0.0046
17,-0.0571534,0,-0,-0,0,0,0,0.53999996,0.0049
18,-0.0571534,0,-0,-0,0,0,0,0.56999993,0.0052
19,-0.0571534,0,-0,-0,0,0,0,0.5999999,0.0055
20,-0.0571534,0,-0,-0,0,0,0,0.6299999,0.0057
21,-0.0571534,0,-0,-0,0,0,0,0.65999985,0.006
22,-0.0571534,0,-0,-0,0,0,0,0.6899998,0.0063
23,-0.0571534,0,-0,-0,0,0,0,0.7199998,0.0065
24,-0.0571534,0,-0,-0,0,0,0,0.74999976,0.0068
25,-0.0571534,0,-0,-0,0,0,0,0.77999973,0.0071
26,-0.0571534,0,-0,-0,0,0,0,0.8099997,0.0074
27,-0.0571534,0,-0,-0,0,0,0,0.8399997,0.0076
28,-0.0571534,0,-0,-0,0,0,0,0.86999965,0.0079
29,-0.0571534,0,-0,-0,0,0,0,0.8999996,0.0082
30,-0.0571534,0,-0,-0,0,0,0,0.9299996,0.0085
31,-0.0571534,0,-0,-0,0,0,0,0.95999956,0.0087
32,-0.0571534,0,-0,-0,0,0,0,0.98999953,0.009
33,-0.0571534,0,-0,-0,0,0,0,1.0199995,0.0093
34,-0.0571534,0,-0,-0,0,0,0,1.0499995,0.0095
35,-0.0571534,0,-0,-0,0,0,0,1.0799994,0.0098
36,-0.0571534,0,-0,-0,0,0,0,1.1099994,0.0101
37,-0.0571534,0,-0,-0,0,0,0,1.1399994,0.0104
38,-0.0571534,0,-0,-0,0,0,0,1.1699994,0.0106
39,-0.0571534,0,-0,-0,0,0,0,1.1999993,0.0109
40,-0.0571534,0,-0,-0,0,0,0,1.2299993,0.0112
41,-0.0571534,0,-0,-0,0,0,0,1.2599993,0.0115
42,-0.0571534,0,-0,-0,0,0,0,1.2899992,0.0117
43,-0.0571534,0,-0,-0,0,0,0,1.3199992,0.012
44,-0.0571534,0,-0,-0,0,0,0,1.3499992,0.0123
45,-0.0571534,0,-0,-0,0,0,0,1.3799992,0.0125
46,-0.0571534,0,-0,-0,0,0,0,1.4099991,0.0128
47,-0.0571534,0,-0,-0,0,0,0,1.4399991,0.0131
48,-0.0571534,0,-0,-0,0,0,0,1.4699991,0.0134
49,-0.0571534,0,-0,-0,0,0,0,1.499999,0.0136
50,-0.0571534,0,-0,-0,0,0,0,1.529999,0.0139
51,-0.0571534,0,-0,-0,0,0,0,1.559999,0.0142
52,-0.0571534,0,-0,-0,0,0,0,1.589999,0.0145
53,-0.0571534,0,-0,-0,0,0,0,1.6199989,0.0147
54,-0.0571534,0,-0,-0,0,0,0,1.6499989,0.015
55,-0.0571534,0,-0,-0,0,0,0,1.6799989,0.0153
56,-0.0571534,0,-0,-0,0,0,0,1.7099988,0.0155
57,-0.0571534,0,-0,-0,0,0,0,1.7399988,0.0158
58,-0.0571534,0,-0,-0,0,0,0,1.7699988,0.0161
59,-0.0571534,0,-0,-0,0,0,0,1.7999988,0.0164
60,-0.0571534,0,-0,-0,0,0,0,1.8299987,0.0166
61,-0.0571534,0,-0,-0,0,0,0,1.8599987,0.0169
62,-0.0571534,0,-0,-0,0,0,0,1.8899987,0.0172
63,-0.0571534,0,-0,-0,0,0,0,1.9199986,0.0175
64,-0.0571534,0,-0,-0,0,0,0,1.9499986,0.0177
65,-0.0571534,0,-0,-0,0,0,0,1.9799986,0.018
66,-0.0571534,0,-0,-0,0,0,0,2.0099986,0.0183
67,-0.0571534,0,-0,-0,0,0,0,2.0399985,0.0185
68,-0.0571534,0,-0,-0,0,0,0,2.0699985,0.0188
69,-0.0571534,0,-0,-0,0,0,0,2.0999985,0.0191
70,-0.0571534,0,-0,-0,0,0,0,2.1299984,0.0194
71,-0.0571534,0,-0,-0,0,0,0,2.1599984,0.0196
72,-0.0571534,0,-0,-0,0,0,0,2.1899984,0.0199
73,-0.0571534,0,-0,-0,0,0,0,2.2199984,0.0202
74,-0.0571534,0,-0,-0,0,0,0,2.2499983,0.0205
75,-0.0571534,0,-0,-0,0,0,0,2.2799983,0.0207
76,-0.0571534,0,-0,-0,0,0,0,2.3099983,0.021
77,-0.0571534,0,-0,-0,0,0,0,2.3399982,0.0213
78,-0.0571534,0,-0,-0,0,0,0,2.3699982,0.0215
79,-0.0571534,0,-0,-0,0,0,0,2.3999982,0.0218
80,-0.0571534,0,-0,-0,0,0,0,2.4299982,0.0221
81,-0.0571534,0,-0,-0,0,0,0,2.4599981,0.0224
82,-0.0571534,0,-0,-0,0,0,0,2.489998,0.0226
83,-0.0571534,0,-0,-0,0,0,0,2.519998,0.0229
84,-0.0571534,0,-0,-0,0,0,0,2.549998,0.0232
85,-0.0571534,0,-0,-0,0,0,0,2.579998,0.0235
86,-0.0571534,0,-0,-0,0,0,0,2.609998,0.0237
87,-0.0571534,0,-0,-0,0,0,0,2.639998,0.024
88,-0.0571534,0,-0,-0,0,0,0,2.669998,0.0243
89,-0.0571534,0,-0,-0,0,0,0,2.699998,0.0245
90,-0.0571534,0,-0,-0,0,0,0,2.7299979,0.0248
91,-0.0571534,0,-0,-0,0,0,0,2.7599978,0.0251
92,-0.0571534,0,-0,-0,0,0,0,2.7899978,0.0254
93,-0.0571534,0,-0,-0,0,0,0,2.8199978,0.0256
94,-0.0571534,0,-0,-0,0,0,0,2.8499978,0.0259
95,-0.0571534,0,-0,-0,0,0,0,2.8799977,0.0262
96,-0.0571534,0,-0,-0,0,0,0,2.9099977,0.0265
97,-0.0571534,0,-0,-0,0,0,0,2.9399977,0.0267
98,-0.0571534,0,-0,-0,0,0,0,2.9699976,0.027
99,-0.0571534,0,-0,-0,0,0,0,2.9999976,0.0273
100,-0.0571534,0,-0,-0,0,0,0,3.0299976,0.0275
101,-0.0571534,0,-0,-0,0,0,0,3.0599976,0.0278
102,-0.0571534,0,-0,-0,0,0,0,3.0899975,0.0281
103,-0.0571534,0,-0,-0,0,0,0,3.1199975,0.0284
104,-0.0571534,0,-0,-0,0,0,0,3.1499975,0.0286
105,-0.0571534,0,-0,-0,0,0,0,3.1799974,0.0289
106,-0.0571534,0,-0,-0,0,0,0,3.2099974,0.0292
107,-0.0571534,0,-0,-0,0,0,0,3.2399974,0.0295
108,-0.0571534,0,-0,-0,0,0,0,3.2699974,0.0297
109,-0.0571534,0,-0,-0,0,0,0,3.2999973,0.03
110,-0.0571534,0,-0,-0,0,0,0,3.3299973,0.0303
111,-0.0571534,0,-0,-0,0,0,0,3.3599973,0.0305
112,-0.0571534,0,-0,-0,0,0,0,3.3899972,0.0308
113,-0.0571534,0,-0,-0,0,0,0,3.4199972,0.0311
114,-0.0571534,0,-0,-0,0,0,0,3.4499972,0.0314
115,-0.0571534,0,-0,-0,0,0,0,3.4799972,0.0316
116,-0.0571534,0,-0,-0,0,0,0,3.5099971,0.0319
117,-0.0571534,0,-0,-0,0,0,0,3.539997,0.0322
118,-0.0571534,0,-0,-0,0,0,0,3.569997,0.0325
119,-0.0571534,0,-0,-0,0,0,0,3.599997,0.0327
120,-0.0571534,0,-0,-0,0,0,0,3.629997,0.033
121,-0.0571534,0,-0,-0,0,0,0,3.659997,0.0333
122,-0.0571534,0,-0,-0,0,0,0,3.689997,0.0335
123,-0.0571534,0,-0,-0,0,0,0,3.719997,0.0338
124,-0.0571534,0,-0,-0,0,0,0,3.749997,0.0341
125,-0.0571534,0,-0,-0,0,0,0,3.7799969,0.0344
126,-0.0571534,0,-0,-0,0,0,0,3.8099968,0.0346
127,-0.0571534,0,-0,-0,0,0,0,3.8399968,0.0349
128,-0.0571534,0,-0,-0,0,0,0,3.8699968,0.0352
129,-0.0571534,0,-0,-0,0,0,0,3.8999968,0.0355
130,-0.0571534,0,-0,-0,0,0,0,3.9299967,0.0357
131,-0.0571534,0,-0,-0,0,0,0,3.9599967,0.036
132,-0.0571534,0,-0,-0,0,0,0,3.9899967,0.0363
133,-0.0571534,0,-0,-0,0,0,0,4.0199966,0.0365
134,-0.0571534,0,-0,-0,0,0,0,4.049997,0.0368
135,-0.0571534,0,-0,-0,0,0,0,4.079997,0.0371
136,-0.0571534,0,-0,-0,0,0,0,4.1099973,0.0374
137,-0.0571534,0,-0,-0,0,0,0,4.1399975,0.0376
138,-0.0571534,0,-0,-0,0,0,0,4.1699977,0.0379
139,-0.0571534,0,-0,-0,0,0,0,4.199998,0.0382
140,-0.0571534,0,-0,-0,0,0,0,4.229998,0.0385
141,-0.0571534,0,-0,-0,0,0,0,4.2599983,0.0387
142,-0.0571534,0,-0,-0,0,0,0,4.2899985,0.039
143,-0.0571534,0,-0,-0,0,0,0,4.3199987,0.0393
144,-0.0571534,0,-0,-0,0,0,0,4.349999,0.0395
145,-0.0571534,0,-0,-0,0,0,0,4.379999,0.0398
146,-0.0571534,0,-0,-0,0,0,0,4.4099994,0.0401
147,-0.0571534,0,-0,-0,0,0,0,4.4399996,0.0404
148,-0.0571534,0,-0,-0,0,0,0,4.47,0.0406
149,-0.0571534,0,-0,-0,0,0,0,4.5,0.0409
150,-0.0571534,0,-0,-0,0,0,0,4.53,0.0412
151,-0.0571534,0,-0,-0,0,0,0,4.5600004,0.0415
152,-0.0571534,0,-0,-0,0,0,0,4.5900006,0.0417
153,-0.0571534,0,-0,-0,0,0,0,4.620001,0.042
154,-0.0571534,0,-0,-0,0,0,0,4.650001,0.0423
155,-0.0571534,0,-0,-0,0,0,0,4.6800013,0.0425
156,-0.0571534,0,-0,-0,0,0,0,4.7100015,0.0428
157,-0.0571534,0,-0,-0,0,0,0,4.7400017,0.0431
158,-0.0571534,0,-0,-0,0,0,0,4.770002,0.0434
159,-0.0571534,0,-0,-0,0,0,0,4.800002,0.0436
160,-0.0571534,0,-0,-0,0,0,0,4.8300023,0.0439
161,-0.0571534,0,-0,-0,0,0,0,4.8600025,0.0442
162,-0.0571534,0,-0,-0,0,0,0,4.8900027,0.0445
163,-0.0571534,0,-0,-0,0,0,0,4.920003,0.0447
164,-0.0571534,0,-0,-0,0,0,0,4.950003,0.045
165,-0.0571534,0,-0,-0,0,0,0,4.9800034,0.0453
166,-0.0571534,0,-0,-0,0,0,0,5.0100036,0.0455
167,-0.0571534,0,-0,-0,0,0,0,5.040004,0.0458
168,-0.0571534,0,-0,-0,0,0,0,5.070004,0.0461
169,-0.0571534,0,-0,-0,0,0,0,5.100004,0.0464
170,-0.0571534,0,-0,-0,0,0,0,5.1300044,0.0466
171,-0.0571534,0,-0,-0,0,0,0,5.1600046,0.0469
172,-0.0571534,0,-0,-0,0,0,0,5.190005,0.0472
173,-0.0571534,0,-0,-0,0,0,0,5.220005,0.0475
174,-0.0571534,0,-0,-0,0,0,0,5.2500052,0.0477
175,-0.0571534,0,-0,-0,0,0,0,5.2800055,0.048
176,-0.0571534,0,-0,-0,0,0,0,5.3100057,0.0483
177,-0.0571534,0,-0,-0,0,0,0,5.340006,0.0485
178,-0.0571534,0,-0,-0,0,0,0,5.370006,0.0488
179,-0.0571534,0,-0,-0,0,0,0,5.4000063,0.0491
180,-0.0571534,0,-0,-0,0,0,0,5.4300065,0.0494
181,-0.0571534,0,-0,-0,0,0,0,5.4600067,0.0496
182,-0.0571534,0,-0,-0,0,0,0,5.490007,0.0499
183,-0.0571534,0,-0,-0,0,0,0,5.520007,0.0502
184,-0.0571534,0,-0,-0,0,0,0,5.5500073,0.0505
185,-0.0571534,0,-0,-0,0,0,0,5.5800076,0.0507
186,-0.0571534,0,-0,-0,0,0,0,5.610008,0.051
187,-0.0571534,0,-0,-0,0,0,0,5.640008,0.0513
188,-0.0571534,0,-0,-0,0,0,0,5.670008,0.0515
189,-0.0571534,0,-0,-0,0,0,0,5.7000084,0.0518
190,-0.0571534,0,-0,-0,0,0,0,5.7300086,0.0521
191,-0.0571534,0,-0,-0,0,0,0,5.760009,0.0524
192,-0.0571534,0,-0,-0,0,0,0,5.790009,0.0526
193,-0.0571534,0,-0,-0,0,0,0,5.820009,0.0529
194,-0.0571534,0,-0,-0,0,0,0,5.8500094,0.0532
