sample,relativeDensityError,localPressure,pressureAcceleration.X,pressureAcceleration.Y,viscosityAcceleration.X,viscosityAcceleration.Y,averageVelocity.X,averageVelocity.Y,CFL
0,-0.0022882223,0,-0,-0,0,0,0,0.003,0
1,-0.0022882223,2.0689216E-05,-6.0131875E-16,0,5.52635E-10,-4.8792765E-07,5.526356E-10,0.005999512,0
2,-0.002288123,2.1871456E-05,-6.0883527E-16,0,1.1035698E-09,-9.756521E-07,1.6562095E-09,0.0089985365,0
3,-0.002288123,4.256067E-05,-2.1497148E-15,9.320441E-16,1.6531073E-09,-1.4631704E-06,3.3093166E-09,0.011997074,0
4,-0.0022880235,4.374291E-05,-2.1572311E-15,9.019782E-16,2.200407E-09,-1.9504819E-06,5.5097202E-09,0.014995123,0
5,-0.0022880235,6.561437E-05,-6.614507E-16,-9.621101E-16,2.7463596E-09,-2.437583E-06,8.25607E-09,0.017992685,0
6,-0.0022879243,6.797885E-05,-4.8105505E-16,-1.3229014E-15,3.2908458E-09,-2.9244734E-06,1.1546907E-08,0.02098976,0
7,-0.0022878249,9.251035E-05,2.029451E-15,2.059517E-15,3.833566E-09,-3.4111504E-06,1.5380483E-08,0.02398635,0
8,-0.0022877255,9.280591E-05,2.871297E-15,2.1046158E-15,4.3743684E-09,-3.8976127E-06,1.9754868E-08,0.026982453,0
9,-0.0022877255,0.00011674629,2.8261985E-15,5.441935E-15,4.9146323E-09,-4.383858E-06,2.4669516E-08,0.029978069,0
10,-0.0022875268,0.00012117969,-4.3971437E-15,4.509891E-15,5.452457E-09,-4.869885E-06,3.012201E-08,0.0329732,0
11,-0.0022874274,0.00014600674,-1.0650859E-14,4.735386E-16,5.9917955E-09,-5.3556914E-06,3.6113796E-08,0.03596784,0
12,-0.0022873282,0.00014925792,4.457276E-15,-1.2785001E-15,6.526408E-09,-5.8412757E-06,4.2640202E-08,0.038962003,0
13,-0.0022871294,0.00017438053,-9.34299E-15,1.0191656E-14,7.061084E-09,-6.3266366E-06,4.9701303E-08,0.041955676,0
14,-0.0022870302,0.0001791095,9.057365E-15,1.1944235E-15,7.596697E-09,-6.8117715E-06,5.729793E-08,0.044948865,0
15,-0.0022868314,0.00020334544,3.8334073E-15,7.396221E-15,8.127541E-09,-7.2966777E-06,6.542545E-08,0.047941566,0
16,-0.0022866328,0.00020600547,2.6758686E-15,-8.568793E-15,8.6548875E-09,-7.781356E-06,7.4080404E-08,0.050933786,0
17,-0.0022864342,0.00023083253,3.908572E-16,-3.594275E-15,9.179643E-09,-8.2658025E-06,8.326006E-08,0.053925518,0
18,-0.0022862353,0.0002370393,1.5258464E-15,2.1797806E-15,9.704738E-09,-8.750016E-06,9.29649E-08,0.05691677,0.0001
19,-0.0022860367,0.00026127524,5.9680887E-15,1.8556108E-14,1.0228182E-08,-9.2339915E-06,1.0319308E-07,0.059907533,0.0001
20,-0.0022857387,0.0002668909,-1.4130992E-15,6.995057E-15,1.0751987E-08,-9.717732E-06,1.1394492E-07,0.06289782,0.0001
21,-0.00228554,0.00029467355,-1.24022005E-14,-9.0676715E-15,1.1274058E-08,-1.0201234E-05,1.252189E-07,0.065887615,0.0001
22,-0.002285242,0.00030886044,-4.8857153E-15,-2.2208526E-15,1.1794629E-08,-1.06844955E-05,1.3701357E-07,0.06887693,0.0001
23,-0.0022850432,0.00033250524,1.0139738E-14,-1.7404848E-14,1.2310774E-08,-1.11675145E-05,1.4932428E-07,0.07186577,0.0001
24,-0.0022847452,0.0003336875,1.3980662E-15,1.9633058E-14,1.2825586E-08,-1.1650298E-05,1.6214983E-07,0.07485411,0.0001
25,-0.0022844472,0.00036058348,-5.9756057E-15,-6.419078E-15,1.3343027E-08,-1.2132835E-05,1.7549304E-07,0.07784198,0.0001
26,-0.0022841492,0.00035910567,-9.748881E-15,6.232752E-15,1.3857216E-08,-1.2615122E-05,1.8935017E-07,0.08082937,0.0001
27,-0.0022838512,0.00038245492,-4.863166E-15,1.21249785E-14,1.4369919E-08,-1.309716E-05,2.0372009E-07,0.08381627,0.0001
28,-0.002283454,0.0003818638,-4.4046603E-15,-2.2322052E-15,1.4882673E-08,-1.3578947E-05,2.1860276E-07,0.08680269,0.0001
29,-0.002283156,0.00040166633,-5.156309E-15,2.2149718E-14,1.5394091E-08,-1.4060479E-05,2.3399676E-07,0.08978863,0.0001
30,-0.0022827585,0.00036501687,1.004954E-14,-1.0351753E-14,1.590218E-08,-1.4541756E-05,2.4989887E-07,0.09277409,0.0001
31,-0.0022824605,0.00034964774,2.773583E-15,6.2069393E-15,1.6406759E-08,-1.5022776E-05,2.6630588E-07,0.09575907,0.0001
